"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","","",""
"300
001","15","3.636","33.3","26.7","13.3",".",".",".",".","26.7",".",".",".","",".","",".","",".",".","."
"300
001","22","4.000","95.5",".",".",".",".",".",".","4.5",".",".",".","",".","",".","",".",".","."
"Section Total","37","3.875","70.3","10.8","5.4",".",".",".",".","13.5",".",".","",".","",".","",".",".",".","."
"Course Total
Workshop-Physical Activity","37","3.875","70.3","10.8","5.4",".",".",".",".","13.5",".",".","",".","",".","",".",".",".","."
"310
001
Water Safety Instructor","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".","",".","",".","",".",".","."
"362
001
Tennis III","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".","",".","",".","",".",".","."
"PE ACTIV
Dept. Total
740","1513","3.422","44.9","18.2","10.8","2.4","4.6","1.2","0.3","16.2","0.2",".","",".","",".","",".","1.0","0.1","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","249","3.219","45.0","18.9","14.9","5.6","9.2","2.8",".","3.2",".",".","",".","",".","",".","0.4",".","."
"Sophomore","309","3.269","45.3","19.1","14.2","4.2","7.1","1.3","1.0","7.4",".",".","",".","",".","",".",".",".","0.3"
"Junior","333","3.570","52.3","21.3","9.9","1.5","3.6","0.3","0.3","10.5","0.3",".","",".","",".","",".",".",".","."
"Senior","484","3.569","47.9","18.2","8.5","0.8","2.5","1.0","0.2","20.2","0.4",".","",".","",".","",".","0.2",".","."
"Undergraduates","1375","3.417","47.9","19.3","11.3","2.6","5.0","1.2","0.4","11.9","0.2",".","",".","",".","",".","0.1",".","0.1"
"Special","92","3.632","12.0","2.2","3.3",".",".","1.1",".","66.3",".",".","",".","",".","",".","14.1","1.1","."
"Graduate","42","3.540","23.8","19.0","14.3","2.4",".",".",".","38.1",".",".","",".","",".","",".",".",".","2.4"
"Prof Yr 2","1","",".",".",".",".",".",".",".","100.0",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","3","",".",".",".",".",".",".",".","100.0",".",".","",".","",".","",".",".",".","."
"Professionals","4","",".",".",".",".",".",".",".","100.0",".",".","",".","",".","",".",".",".","."
"Dept. Total","1513","3.422","44.9","18.2","10.8","2.4","4.6","1.2","0.3","16.2","0.2",".","",".","",".","",".","1.0","0.1","0.1"
