"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","397
007","22","3.682","77.3","9.1","9.1",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","397
008","21","3.405","19.0","47.6","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","18","3.361","11.1","66.7","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","397
010","18","3.472","11.1","77.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","25","3.440","32.0","48.0","16.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","397
015","19","3.711","52.6","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","258","3.426","30.6","41.1","20.5","3.1","3.5",".","1.2",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Applicatns of Statistics","416
001","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","430
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","430
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Bus & Industry","Course Total","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Technical Editing","497
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","530
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","29","3.879","75.9","24.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","29","3.931","86.2","13.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Project Management","626
001","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","630
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","654
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching in Science & Engr","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
002","7","3.556","71.4","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","690
003","26","3.854","76.9","3.8","11.5",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","690
004","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","690
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
008","29","3.155","20.7","31.0","31.0","6.9","6.9",".","3.4",".",".",".",".",".",".",".",".","."
"","009
690","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","690
013","14","3.750","78.6","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","101","3.518","59.4","15.8","13.9","3.0","3.0","1.0","1.0","3.0",".",".",".",".",".",".",".","."
"Independent Study","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
