"","999
085","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","999
090","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","999
097","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Indep Study & Research","Course Total","10","4.000","70.0",".",".",".",".",".",".","30.0",".",".",".","",".","",".",".",".","."
"COMP SCI
266","Dept. Total","2191","3.228","33.5","16.2","15.9","8.3","8.0","1.7","2.2","10.2","0.0","3.5","0.1","",".","",".","0.2","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","157","3.042","36.9","9.6","15.3","8.9","12.7","1.3","3.2","0.6",".","10.8",".","",".","",".",".",".","0.6"
"Sophomore","","373","3.020","32.4","11.8","22.5","9.7","10.5","1.9","3.5",".",".","7.5","0.3","",".","",".",".",".","."
"Junior","","405","3.039","31.1","14.8","18.5","13.1","12.3","2.5","3.2","0.5",".","3.5","0.2","",".","",".","0.2",".","."
"Senior","","556","3.128","30.9","19.8","17.4","11.2","10.8","2.9","2.3","1.6",".","2.5",".","",".","",".","0.4",".","0.2"
"Undergraduates","","1491","3.071","32.0","15.4","18.8","11.1","11.3","2.3","3.0","0.8",".","4.9","0.1","",".","",".","0.2",".","0.1"
"Special","","64","3.434","51.6","9.4","17.2","6.3","1.6","1.6","3.1","4.7",".","1.6",".","",".","",".","1.6","1.6","."
"Graduate","","679","3.650","39.3","17.5","8.4","1.8","1.0","0.3","0.3","30.6","0.1","0.4",".","",".","",".","0.1",".","."
"Prof Yr 3","","4","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".","",".","",".",".",".","."
"Professionals","","4","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".","",".","",".",".",".","."
"","Dept. Total","2238","3.228","34.9","15.8","15.5","8.1","7.9","1.7","2.1","10.0","0.0","3.4","0.1","",".","",".","0.2","0.0","0.1"
