"L&S","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","1916","3.299","36.8","19.6","24.5","6.7","6.3","2.1","1.0","2.2","0.1",".","",".","0.1","0.1","0.1","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","3.293","31.3","18.8","25.0","12.5","6.3",".",".",".",".",".","",".",".",".",".","6.3","."
"Sophomore","","336","3.353","38.1","22.6","25.6","5.4","6.5","0.6","1.2",".",".",".","",".",".",".",".",".","."
"Junior","","659","3.225","33.1","20.6","26.4","8.0","7.3","2.3","1.5","0.2",".",".","",".",".",".",".","0.3","0.3"
"Senior","","506","3.147","32.8","17.4","24.5","10.1","8.5","4.3","1.2","0.4","0.4",".","",".",".","0.2",".",".","0.2"
"Undergraduates","","1517","3.228","34.1","20.0","25.6","8.2","7.5","2.6","1.3","0.2","0.1",".","",".",".","0.1",".","0.2","0.2"
"Special","","23","3.228","39.1","4.3","34.8","4.3","8.7","4.3",".","4.3",".",".","",".",".",".",".",".","."
"Graduate","","373","3.605","47.5","19.0","19.3","0.8","1.3","0.3",".","10.5",".",".","",".","0.5","0.3","0.3","0.3","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","3","3.636","66.7",".","33.3",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","1916","3.299","36.8","19.6","24.5","6.7","6.3","2.1","1.0","2.2","0.1",".","",".","0.1","0.1","0.1","0.2","0.2"
