"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","002","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","22","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"102
Beginning Class Piano","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"104
Intermediate Class Piano","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"14
Fundamentals: Single Reeds","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","16","3.750","68.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","7","3.962","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","103","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","12","3.974","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"147
First Year Composition","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"200","250","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","251","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","252","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","253","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","254","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","22","3.795","90.9","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"201","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","5","***","","","","","","","","","","","","","","","",""
"203
Elem/Intmed Organ","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"205","103","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","20","3.978","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","9","3.545","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
