"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","12","3.786","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","6","3.875","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","48","3.791","79.2","8.3","10.4",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"726
Grad Intaglio Printmaking I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"908","001","","31","3.839","71.0","25.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"908","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"908","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Art","Course Total","","45","3.889","80.0","17.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"914","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"914","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"914","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Sculpture","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Painting","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Advanced Research-Ceramics","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"944
Adv Research-Art Metal","031","","8","3.816","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","007","","9","3.765","55.6","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"996","011","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 74 of 410"
