"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","",""
"","999
136","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"ACCT I S
232","Dept. Total","2321","3.252","32.6","23.3","24.4","9.7","5.9","2.3","1.3","0.3","0.1",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","0.000",".",".",".",".",".",".","100.0",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","326","2.818","16.0","11.0","31.6","23.3","10.4","4.6","2.8",".","0.3",".","",".","",".","",".",".",".","."
"Junior","","595","3.140","26.7","23.4","25.7","11.6","8.2","2.7","1.7",".",".",".","",".","",".","",".",".",".","."
"Senior","","751","3.206","28.6","24.1","26.6","9.6","6.5","2.7","1.2","0.4","0.3",".","",".","",".","",".",".",".","."
"Undergraduates","","1673","3.105","25.5","21.3","27.3","13.0","7.9","3.0","1.7","0.2","0.2",".","",".","",".","",".",".",".","."
"Special","","34","2.926","23.5","11.8","35.3","8.8","11.8","5.9","2.9",".",".",".","",".","",".","",".",".",".","."
"Graduate","","609","3.670","52.5","29.2","16.1","1.0","0.3",".",".","0.8",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","4","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","","5","3.800","60.0","40.0",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","2321","3.252","32.6","23.3","24.4","9.7","5.9","2.3","1.3","0.3","0.1",".","",".","",".","",".",".",".","."
