"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"Milton","434","001","","24","3.217","20.8","37.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".","4.2","."
"Outstnd Figures-18c Eng Lit","441","001","","29","3.655","41.4","48.3","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 18th C Eng Lit","442","001","","39","3.590","43.6","46.2","7.7",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","37","3.472","27.0","43.2","21.6","5.4",".",".",".",".",".",".",".",".",".","2.7",".","."
"Theme in 19th C Eng Lit","468","001","","32","3.177","21.9","34.4","25.0",".","12.5",".","3.1","3.1",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Maj Mod Brit/IrishPoets","510","001","","30","3.083","30.0","13.3","26.7","16.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Topics in 20C Lit in English","516","001","","27","3.500","33.3","29.6","33.3",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"Survey: Theories of Drama","520","001","","19","3.395","26.3","36.8","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Postcolonial Theatre","523","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Criticism","550","001","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Critical Theories","553","001","","24","2.938","20.8","16.7","33.3","4.2","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","595","001","","16","3.500","43.8","37.5","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Colnl&Early Romantic Am Lit","608","001","","35","3.414","57.1","14.3","11.4","5.7","2.9","8.6",".",".",".",".",".",".",".",".",".","."
"3 Amer Authors Before 1865","621","001","","31","3.323","32.3","29.0","25.8","9.7",".",".","3.2",".",".",".",".",".",".",".",".","."
"Theme in 19th C Amer Lit","626","001","","35","3.235","20.0","25.7","45.7","2.9",".",".","2.9","2.9",".",".",".",".",".",".",".","."
"Figures of Contemp Amer Lit","631","001","","34","3.441","35.3","41.2","14.7","5.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"Mod Amer Lit Since 1914","633","001","","32","3.233","18.8","37.5","21.9","12.5",".",".","3.1","3.1",".",".",".",".",".","3.1",".","."
"Selected Topics:Afro-Am Lit","672","002","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","695","126","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","128","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","129","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Creative Writing","","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","114","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","122","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Composition Studies","700","001","","17","3.969","88.2","5.9",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Writing and Learning","701","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Discourse Analysis","710","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meths-Applied Linguistics","711","001","","8","3.313","50.0","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Topc-Contmp English Linguis","713","001","","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 207 of 410",""
