"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","123","3.057","31.7","6.5","38.2","9.8","5.7","5.7","2.4",".",".",".",".",".",".",".",".","."
"","300
002","252","3.006","27.4","7.1","37.3","11.5","11.1","3.2","2.4",".",".",".",".",".",".",".",".","."
"","300
010","112","2.969","29.5","3.6","36.6","9.8","16.1",".","4.5",".",".",".",".",".",".",".",".","."
"","300
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","489","3.006","29.0","6.1","37.2","10.6","10.8","3.1","3.1",".",".",".",".",".",".",".",".","."
"","305
001","34","3.294","35.3","14.7","35.3","8.8","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","305
002","28","2.696","10.7","3.6","53.6","7.1","10.7","14.3",".",".",".",".",".",".",".",".",".","."
"","305
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","63","3.040","25.4","9.5","42.9","7.9","6.3","7.9",".",".",".",".",".",".",".",".",".","."
"","365
002","48","3.729","45.8","54.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","53","3.670","43.4","49.1","5.7","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","399
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
159","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
217","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","8","3.643","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","35","3.357","17.1","48.6","22.9","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","35","3.814","74.3","20.0","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","422
002","25","3.458","36.0","28.0","24.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","Course Total","60","3.669","58.3","23.3","11.7","1.7","3.3",".",".","1.7",".",".",".",".",".",".",".","."
"Strategic Management","423
001","35","3.571","37.1","40.0","22.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","12","3.417","41.7","16.7","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Organizational Issues","470
001","38","3.527","50.0","13.2","28.9",".","5.3",".",".","2.6",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","35","3.557","34.3","54.3","2.9","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","628
001","33","3.682","51.5","33.3","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","29","3.793","58.6","41.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","68","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","125","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
001","26","3.846","73.1","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
002","35","3.857","80.0","11.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","Course Total","61","3.852","77.0","16.4","6.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","734
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"WAVE Practicum I","737
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Arts Administration","773
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","790
204","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Rsch Meth-Management I","835
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Administrative Policy","870
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Org Behavior & Design","872
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 60 of 410"
