"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","383","2.792","15.1","15.7","22.2","21.1","19.1","6.3","0.5",".",".",".",".",".",".",".",".","."
"","002
101","381","2.828","16.5","19.2","18.4","21.0","17.3","6.6","0.8","0.3",".",".",".",".",".",".",".","."
"","003
101","362","2.816","16.3","17.4","19.9","20.4","21.3","2.2","2.5",".",".",".",".",".",".",".",".","."
"","101
004","362","3.169","18.0","32.6","27.1","13.8","6.6","1.1","0.6",".",".",".",".",".",".","0.3",".","."
"Principles-Microeconomics","Course Total","1488","2.899","16.5","21.1","21.8","19.2","16.1","4.1","1.1","0.1",".",".",".",".",".","0.1",".","."
"","102
001","253","2.797","8.3","22.9","23.7","23.7","14.6","4.3","1.6","0.4",".",".",".",".",".",".","0.4","."
"","102
002","275","3.136","26.2","27.6","20.7","9.1","12.4","2.5","1.5",".",".",".",".",".",".",".",".","."
"","102
003","232","2.799","12.9","16.8","31.9","12.9","16.8","6.5","1.7","0.4",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","760","2.921","16.2","22.8","25.1","15.1","14.5","4.3","1.6","0.3",".",".",".",".",".",".","0.1","."
"Prin/Econ-Accelratd Treatmt","111
001","35","3.235","34.3","25.7","20.0","2.9","8.6","2.9","2.9","2.9",".",".",".",".",".",".",".","."
"","300
001","13","2.462",".","15.4","38.5","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".",".","."
"","300
002","19","2.176",".","10.5","15.8","21.1","21.1","15.8","5.3","5.3",".",".",".",".","5.3",".",".","."
"Introduction to Finance","Course Total","32","2.300",".","12.5","25.0","18.8","18.8","12.5","6.3","3.1",".",".",".",".","3.1",".",".","."
"","301
001","218","2.621","12.4","15.6","20.2","17.0","18.8","13.8","0.9","1.4",".",".",".",".",".",".",".","."
"","002
301","230","2.664","15.7","15.7","17.0","21.7","15.2","12.2","2.2","0.4",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","448","2.643","14.1","15.6","18.5","19.4","17.0","12.9","1.6","0.9",".",".",".",".",".",".",".","."
"","302
001","162","2.672","13.0","13.6","21.6","15.4","26.5","3.1","3.7","1.9",".",".",".",".",".","1.2",".","."
"","302
002","174","2.523","14.9","9.2","25.9","6.3","27.0","11.5","4.6","0.6",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","336","2.594","14.0","11.3","23.8","10.7","26.8","7.4","4.2","1.2",".",".",".",".",".","0.6",".","."
"The Real Estate Process","306
001","93","2.863","11.8","12.9","39.8","11.8","18.3","2.2","1.1","2.2",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","310
001","95","3.147","16.8","34.7","25.3","7.4","15.8",".",".",".",".",".",".",".",".",".",".","."
