"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","275
001","74","2.926","14.9","24.3","24.3","20.3","9.5","5.4","1.4",".",".",".",".",".",".",".",".","."
"","275
002","83","3.864","81.9","6.0","8.4","1.2",".",".",".",".",".",".",".",".",".","2.4",".","."
"Consumer Finance","Course Total","157","3.416","50.3","14.6","15.9","10.2","4.5","2.5","0.6",".",".",".",".",".",".","1.3",".","."
"Mediatn:Serving Consumr Int","350
001","73","3.897","95.9","1.4",".",".",".","1.4","1.4",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357
001","39","3.423","38.5","23.1","25.6","10.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","360
001","18","3.333","44.4","11.1","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","360
002","25","3.760","92.0",".",".",".","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","Course Total","43","3.581","72.1","4.7","9.3","4.7","7.0",".","2.3",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475
001","44","2.886","20.5","27.3","11.4","18.2","11.4","9.1","2.3",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","63","3.411","19.0","52.4","20.6","3.2","3.2",".",".",".",".",".",".",".",".","1.6",".","."
"","501
002","85","3.911","88.2","5.9","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","1.2"
"","501
008","17","3.853","88.2","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","501
012","43","3.547","44.2","34.9","11.6","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"","501
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
075","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","150","3.711","75.3","14.7","4.7","2.7","2.0",".",".",".",".",".",".",".",".",".",".","0.7"
"Prep for Retailng Internshp","503
001","29","3.897","86.2","6.9","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","532
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","532
002","23","3.391","39.1","26.1","13.0","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","24","3.375","37.5","25.0","16.7","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"Direct Retailing","561
001","48","3.719","58.3","29.2","10.4","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","14","3.846","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
015","8","3.925","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","627
001","40","2.950","17.5","25.0","20.0","20.0","10.0","7.5",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657
001","49","3.167","8.2","28.6","53.1","4.1","4.1",".",".","2.0",".",".",".",".",".",".",".","."
"Household Risk Management","665
001","27","3.519","44.4","25.9","14.8","7.4","3.7",".",".",".",".",".",".",".",".","3.7",".","."
"","901
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","901
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","Course Total","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Consumer Research","960
001","11","3.548","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"","999
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
