"RELIGIOUS STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"211
Introduction to Judaism","001","","30","3.655","50.0","33.3","10.0",".","3.3",".",".","3.3",".",".",".",".",".",".",".","."
"227
Intro to Biblical Lit","001","","79","3.449","50.6","11.4","29.1","5.1","1.3",".","2.5",".",".",".",".",".",".",".",".","."
"261
Intro-Philos of Religion","001","","27","3.074","7.4","29.6","37.0","22.2","3.7",".",".",".",".",".",".",".",".",".",".","."
"271
Religion-Hist&Cult:The West","001","","56","2.898","10.7","21.4","23.2","23.2","16.1","1.8",".","3.6",".",".",".",".",".",".",".","."
"273
Religion-Hist&Culture: East","001","","72","3.543","34.7","43.1","12.5","6.9",".",".",".","2.8",".",".",".",".",".",".",".","."
"312
The Medieval Church","001","","8","2.679",".","37.5","37.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"333
Christian Lit:Matthew-Revelatn","001","","55","3.377","40.0","20.0","18.2","9.1","9.1",".",".","3.6",".",".",".",".",".",".",".","."
"350
Introduction to Taoism","001","","37","3.259","10.8","32.4","37.8","2.7","5.4",".",".","5.4",".",".",".",".",".","5.4",".","."
"355
Hinduism","001","","90","3.430","17.8","61.1","11.1","1.1","3.3",".","1.1","4.4",".",".",".",".",".",".",".","."
"368
Bible in the Middle Ages","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"400","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"400","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"400","003","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Topics in Relig St-Humanities","Course Total","","13","3.333","38.5","30.8","7.7",".","7.7","7.7",".",".",".",".",".",".","7.7",".",".","."
"434
Milton","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"470
Relig Thought in Modern Europe","001","","27","3.241","18.5","37.0","22.2","18.5","3.7",".",".",".",".",".",".",".",".",".",".","."
"478
Art & Relig Prac-Medievl Japan","001","","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Religion-Ancient Mediterranean","001","","14","3.269","35.7","21.4","28.6",".",".",".","7.1","7.1",".",".",".",".",".",".",".","."
"600
Religion-Critical Perspective","001","","18","3.750","66.7","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"666
Anthro-Shamanism&Occult Exper","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695
Research Colloquium for Majors","001","","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"697","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","Course Total","","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.625","66.7",".",".","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
