"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"697","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","17","",".",".",".",".",".",".",".",".",".","82.4","5.9",".",".",".","11.8","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"800
Adv Mass Media Practice","002","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829
Political Communication","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"839
Crit & Cultr Stud-Mass Comm","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Mass Communicatn&Individual","001","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"880","017","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Colloquium:Mass Communicatn","001","","37","",".",".",".",".",".",".",".",".",".","97.3",".",".",".",".","2.7","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Thesis","Course Total","","35","",".",".",".",".",".",".",".","88.6","2.9",".",".","8.6",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research Prob","Course Total","","3","***","","","","","","","","","","","","","","","",""
