"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"682","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"686","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"686","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar in Psych","Course Total","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Undergraduate Thesis","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Behavior Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"694","011","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"694","016","","25","3.966","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","055","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Developmental Psych","Course Total","","54","3.947","87.0","9.3","1.9",".",".",".",".",".",".",".",".",".",".",".","1.9","."
"695","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","029","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"695","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695","069","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Clinical Psychology","Course Total","","42","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","017","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","023","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","031","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","038","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","058","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Human Behavior","Course Total","","96","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 287 of 410",""
