"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshman Topics Seminar","100","001","18","3.278","11.1","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","103","001","409","3.098","21.8","29.6","19.6","14.2","9.8","2.4","1.7",".","0.2",".",".",".",".","0.2","0.5","."
"Intro-Amer Politcs&Governmt","104","001","420","2.849","11.0","16.7","31.0","21.2","15.2","2.4","1.2","1.2",".",".",".",".",".",".",".","0.2"
"Intro-Comparative Politics","106","001","335","2.892","15.5","27.8","20.0","15.8","11.9","5.7","3.0","0.3",".",".",".",".",".",".",".","."
"Intro to American Politics","184","001","18","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","199","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro to State Government","205","001","43","3.000","14.0","27.9","25.6","18.6","7.0","2.3","2.3","2.3",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","198","3.146","19.2","31.8","25.8","8.6","7.6","3.0","1.0","0.5",".",".",".",".",".","1.5","1.0","."
"Law, Politics and Society","217","001","49","2.958","12.2","22.4","34.7","10.2","16.3",".","2.0","2.0",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222","001","18","3.694","72.2","11.1","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","10","3.250","20.0","30.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","43","3.360","14.0","53.5","23.3","9.3",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","34","2.894","26.5","17.6","26.5","2.9","11.8","2.9","8.8","2.9",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","89","3.500","41.6","30.3","18.0","4.5","1.1","2.2",".",".",".",".",".",".",".",".","2.2","."
"Comparative Study of Genocide","318","001","123","3.525","38.2","35.8","18.7","4.9","1.6",".",".","0.8",".",".",".",".",".",".",".","."
"Eur Union:Politics&Pol Econ","338","001","73","3.068","19.2","32.9","21.9","13.7","6.8","1.4","4.1",".",".",".",".",".",".",".",".","."
"Probs-Amer Foreign Policy","359","001","142","3.358","33.8","31.7","17.6","9.9","4.2","1.4","0.7","0.7",".",".",".",".",".",".",".","."
"African Intl Relations","362","001","81","3.206","19.8","34.6","21.0","18.5","3.7",".","1.2","1.2",".",".",".",".",".",".",".","."
"Nuclear Weapons&World Poltc","377","001","63","3.071","15.9","33.3","20.6","12.7","15.9","1.6",".",".",".",".",".",".",".",".",".","."
"","401","002","34","3.588","67.6",".","29.4",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","401","003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","47","3.702","76.6",".","21.3",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","137","3.234","24.8","29.2","33.6","5.8","2.9","0.7","2.9",".",".",".",".",".",".",".",".","."
"Constitutional Law","411","001","139","3.080","19.4","27.3","25.9","11.5","11.5","2.9","0.7","0.7",".",".",".",".",".",".",".","."
"Citiznshp, Democrcy&Difference","425","001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legislative Process","426","001","69","3.014","23.2","17.4","24.6","17.4","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","23","3.804","65.2","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Policy & Politics","440","001","91","3.341","12.1","49.5","30.8","1.1","3.3",".",".","2.2",".",".",".",".",".","1.1",".","."
"Mexican-American Politics","464","001","12","3.167","50.0","16.7","8.3",".","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"The First Amendment","470","001","208","3.051","15.4","23.6","31.7","16.3","8.7","1.9","0.5","1.9",".",".",".",".",".",".",".","."
"Challenge of Democratizatn","505","001","87","3.385","24.1","42.5","26.4","4.6","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","506","002","60","3.237","15.0","43.3","26.7","6.7","5.0",".","1.7",".","1.7",".",".",".",".",".",".","."
"Radical Political Theory","513","001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Stat Inference-Pol Rsch","551","001","26","3.400","34.6","30.8","19.2","7.7",".","3.8",".","3.8",".",".",".",".",".",".",".","."
"Hist-Amer Political Thought","565","001","70","3.157","11.4","32.9","27.1","22.9","1.4",".",".","4.3",".",".",".",".",".",".",".","."
"Politics of Japan","640","001","25","3.020","24.0","24.0","28.0","4.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Politcl Power-Contemp China","642","001","78","3.100","14.1","28.2","33.3","9.0","9.0","2.6",".",".",".",".",".",".","1.3","2.6",".","."
"S Asia and the Global System","663","001","20","3.175","15.0","50.0","15.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Israeli Politics and Society","665","001","57","2.750","8.8","17.5","42.1","7.0","10.5","8.8","3.5",".",".",".",".",".",".","1.8",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 280 of 410",""
