"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","207","2.969","13.0","22.2","29.0","22.7","10.6","1.9","0.5",".",".","",".",".","",".","",".","",".",".","."
"","200
002","124","3.045","10.5","27.4","34.7","16.9","8.1","1.6",".","0.8",".","",".",".","",".","",".","",".",".","."
"International Business","Course Total","331","2.997","12.1","24.2","31.1","20.5","9.7","1.8","0.3","0.3","",".",".","",".","",".","",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intercultural Communctn in Bus","320
001","20","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Reading & Research-Intl Bus","399
222","72","3.986","98.6",".","1.4",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"International Real Estate","430
001","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","445
001","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","745
001","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTL BUS
235","Dept. Total","438","3.139","32.0","19.2","24.2","15.5","7.3","1.4","0.2","0.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","67","2.869","6.0","19.4","37.3","25.4","9.0","3.0",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","177","3.084","35.0","16.4","24.3","14.7","7.3","1.1","0.6","0.6","",".",".","",".","",".","",".",".",".","."
"Senior","","160","3.281","40.6","20.0","17.5","14.4","6.3","1.3",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","404","3.124","32.4","18.3","23.8","16.3","7.2","1.5","0.2","0.2","",".",".","",".","",".","",".",".",".","."
"Special","","29","3.224","20.7","31.0","31.0","6.9","10.3",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","5","3.700","60.0","20.0","20.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","438","3.139","32.0","19.2","24.2","15.5","7.3","1.4","0.2","0.2","",".",".","",".","",".","",".",".",".","."
