"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"200
Prof-Dietetics & Nutrition","001","","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"301
Intro to Sci & Technol of Food","001","","44","2.591","2.3","13.6","34.1","22.7","18.2","6.8","2.3",".",".",".",".",".",".",".",".","."
"324
Food Microbiology Laboratory","001","","15","3.267","26.7","26.7","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"325
Food Microbiology","001","","25","3.040","24.0","12.0","32.0","12.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","13","3.154","38.5","7.7","38.5","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"399","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"410
Food Chemistry","001","","34","3.426","26.5","44.1","20.6","5.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"437
Food Service Operations","001","","60","3.442","26.7","46.7","23.3","1.7",".",".","1.7",".",".",".",".",".",".",".",".","."
"438","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"438","002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Principles of Food Engr","001","","43","2.907","30.2","14.0","18.6","9.3","18.6","4.7","4.7",".",".",".",".",".",".",".",".","."
"499
Food Science Capstone","001","","20","",".",".",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".","."
"512
Principles of Food Chem-Lab","001","","24","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Food Processing I","001","","29","3.121","20.7","27.6","24.1","10.3","17.2",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"710
Chem of the Food Lipids","001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Practicum-Food Sci Teaching","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","39","4.000","17.9",".",".",".",".",".",".","76.9","5.1",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","40","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
