"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","178","3.218","19.1","34.8","28.1","10.1","2.2","2.2","1.1","0.6",".",".",".",".",".","1.1",".","0.6"
"","120","001","106","2.757","19.8","9.4","20.8","18.9","20.8","4.7","2.8","2.8",".",".",".",".",".",".",".","."
"","120","002","122","3.012","20.5","19.7","24.6","17.2","15.6","2.5",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","228","2.896","20.2","14.9","22.8","18.0","18.0","3.5","1.3","1.3",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","46","3.156","28.3","17.4","26.1","17.4","6.5",".","2.2","2.2",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","40","2.776","12.5","7.5","35.0","20.0","12.5","7.5",".","5.0",".",".",".",".",".",".",".","."
"Resources and People","139","001","44","3.636","52.3","40.9","2.3",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","172","3.228","30.8","23.3","28.5","9.3","3.5","0.6","3.5","0.6",".",".",".",".",".",".",".","."
"Plants and Man","240","001","39","3.041","17.9","10.3","48.7","2.6","12.8","2.6",".","2.6",".",".",".",".","2.6",".",".","."
"SE Asia:Vietnam to Philipns","244","001","12","3.417","33.3","33.3","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","20","3.100","20.0","20.0","35.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","18","3.318","22.2","11.1","16.7","5.6","5.6",".",".","33.3","5.6",".",".",".",".",".",".","."
"Introduction to the City","305","001","46","3.533","45.7","39.1","4.3","6.5","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"Geog,Politics&Territorialty","318","001","52","3.255","17.3","32.7","32.7","3.8","7.7",".",".","1.9",".",".",".",".",".","1.9","1.9","."
"Analysis of Physical Envr","325","001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","30","2.724","16.7","20.0","26.7","13.3","6.7",".","13.3","3.3",".",".",".",".",".",".",".","."
"The Global Warming Debate","332","001","23","2.875","8.7",".","43.5","8.7","4.3","4.3",".","30.4",".",".",".",".",".",".",".","."
"","339","001","51","2.765","9.8","3.9","37.3","27.5","21.6",".",".",".",".",".",".",".",".",".",".","."
"","339","002","44","2.898","13.6","15.9","31.8","18.2","18.2","2.3",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","95","2.826","11.6","9.5","34.7","23.2","20.0","1.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","77","2.980","28.6","16.9","18.2","10.4","18.2","3.9","2.6",".",".",".",".",".","1.3",".",".","."
"Intro to Geog Info Systems","377","001","51","3.225","45.1","9.8","19.6","11.8","5.9","7.8",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","51","3.429","37.3","25.5","25.5","5.9",".",".","2.0","2.0",".",".",".",".","2.0",".",".","."
"Space&Place-A Geog Expernce","501","001","16","3.250","18.8","37.5","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Landform Geography","524","001","12","3.636","58.3",".","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Humid Tropics","538","001","23","3.630","60.9","13.0","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Quantitative Methods","560","001","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","43","3.570","39.5","34.9","25.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","001","19","3.157","31.6","36.8","10.5",".","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".","."
"Environmntl Modeling with GIS","577","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Special Topics in Geography","675","001","6","2.667","16.7","33.3",".","33.3",".",".","16.7",".",".",".",".",".",".",".",".","."
"Special Topics in Geography","676","001","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
