"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","71","3.243","22.5","25.4","32.4","14.1","4.2",".",".",".",".",".",".",".",".","1.4",".","."
"","101
002","71","3.669","52.1","32.4","14.1",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","101
004","78","3.167","23.1","25.6","30.8","12.8","3.8","2.6","1.3",".",".",".",".",".",".",".",".","."
"","101
005","71","3.056","19.7","11.3","39.4","19.7","9.9",".",".",".",".",".",".",".",".",".",".","."
"","101
006","79","3.314","26.6","36.7","19.0","10.1","5.1",".","1.3","1.3",".",".",".",".",".",".",".","."
"","101
007","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","389","3.306","29.6","27.0","26.5","10.8","4.6","0.5","0.5","0.3",".",".",".",".",".","0.3",".","."
"","104
001","18","3.389","38.9","16.7","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","104
002","20","3.025","20.0","20.0","25.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics:Philos-Freshmen","Course Total","38","3.197","28.9","18.4","28.9","10.5","13.2",".",".",".",".",".",".",".",".",".",".","."
"","210
001","85","3.206","32.9","20.0","21.2","16.5","7.1",".","2.4",".",".",".",".",".",".",".",".","."
"","210
002","80","3.313","25.0","41.3","17.5","6.3","8.8","1.3",".",".",".",".",".",".",".",".",".","."
"","210
003","24","3.708","70.8","20.8",".","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"","210
004","20","3.600","55.0","20.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","209","3.342","36.4","28.2","16.7","10.5","6.2","1.0","1.0",".",".",".",".",".",".",".",".","."
"","211
001","71","3.500","32.4","40.8","15.5","8.5",".",".",".","1.4",".",".",".",".",".","1.4",".","."
"","002
211","72","3.296","55.6","15.3","4.2","6.9","6.9","5.6","4.2","1.4",".",".",".",".",".",".",".","."
"","211
003","72","2.840","23.6","23.6","18.1","13.9","5.6","6.9","8.3",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","215","3.208","37.2","26.5","12.6","9.8","4.2","4.2","4.2","0.9",".",".",".",".",".","0.5",".","."
"","241
001","80","3.338","27.5","21.3","45.0","3.8","2.5",".",".",".",".",".",".",".",".",".",".","."
"","241
002","16","3.500","56.3","6.3","12.5","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","241
003","77","3.331","26.0","29.9","33.8","5.2","5.2",".",".",".",".",".",".",".",".",".",".","."
"","241
004","68","3.324","19.1","44.1","22.1","11.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","241","3.342","26.6","29.5","32.8","7.1","3.7",".",".","0.4",".",".",".",".",".",".",".","."
"Philosophy of the Arts","253
001","59","3.364","45.8","22.0","11.9","10.2","6.8","1.7","1.7",".",".",".",".",".",".",".",".","."
"Intro-Philos of Religion","261
001","40","2.938","10.0","20.0","42.5","22.5",".",".","5.0",".",".",".",".",".",".",".",".","."
"","341
001","75","3.000","12.0","32.0","26.7","18.7","4.0","1.3","4.0","1.3",".",".",".",".",".",".",".","."
"","341
002","75","3.507","45.3","24.0","18.7","10.7","1.3",".",".",".",".",".",".",".",".",".",".","."
"","341
003","60","2.810","10.0","16.7","30.0","23.3","11.7","1.7","3.3","1.7",".",".",".",".",".","1.7",".","."
"","341
004","83","3.729","56.6","33.7","8.4","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","341
005","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
091","20","3.625","35.0","55.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","20","3.500","45.0","25.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","341
093","21","3.810","71.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","367","3.383","37.9","27.5","18.3","10.4","3.3","0.5","1.4","0.5",".",".",".",".",".","0.3",".","."
"Hist of Ancient Philosophy","430
001","59","3.475","25.4","52.5","16.9","1.7","3.4",".",".",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","73","3.676","67.1","11.0","13.7","2.7","1.4",".","1.4","1.4",".",".",".",".","1.4",".",".","."
"Jewish Philos:Antiquity-17c","435
001","13","3.542","38.5","23.1","30.8",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Classical Philosophers","464
001","19","2.944","10.5","21.1","26.3","21.1","15.8",".",".",".",".",".",".",".",".","5.3",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Logic","512
001","15","3.429","26.7","26.7","40.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","29","3.339","44.8","27.6","10.3","3.4","3.4",".","6.9","3.4",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
