"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","226","2.887","15.0","19.0","29.2","18.6","13.3","1.3","3.5",".",".",".",".",".",".",".",".","."
"","102
001","39","3.782","71.8","17.9","7.7",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","102
002","39","3.795","64.1","30.8","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","39","3.756","56.4","38.5","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","117","3.778","64.1","29.1","6.0",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Honors Independent Study","289
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
094","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","10","3.864","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","257","2.535","13.2","4.7","28.0","11.3","29.6","12.8","0.4",".",".",".",".",".",".",".",".","."
"","304
001","40","3.263","25.0","20.0","40.0","12.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","304
002","35","3.100","20.0","17.1","37.1","14.3","11.4",".",".",".",".",".",".",".",".",".",".","."
"","304
003","38","3.039","10.5","28.9","34.2","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"","304
004","39","3.167","28.2","15.4","30.8","17.9","5.1","2.6",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","152","3.145","21.1","20.4","35.5","13.8","8.6","0.7",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","324
001","15","3.067","13.3","20.0","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325
001","42","2.905","14.3","11.9","40.5","16.7","11.9","4.8",".",".",".",".",".",".",".",".",".","."
"","375
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","50","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","56","3.164","26.8","12.5","39.3","5.4","14.3",".",".","1.8",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","45","3.067","26.7","17.8","26.7","13.3","8.9","6.7",".",".",".",".",".",".",".",".",".","."
"","527
001","15","3.100","13.3","20.0","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","527
002","10","3.300","40.0","20.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","003
527","14","3.214","35.7","7.1","35.7","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","39","3.192","28.2","15.4","33.3","12.8","10.3",".",".",".",".",".",".",".",".",".",".","."
"Immunology","528
001","52","3.827","82.7","7.7","7.7",".",".","1.9",".",".",".",".",".",".",".",".",".","."
"Advanced Microbial Genetics","607
001","31","3.500","35.5","29.0","35.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","24","3.229","29.2","20.8","29.2","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Plant-Bacterial Interactns","622
001","9","3.708","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Microbial Physiology","625
001","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication","640
001","28","3.250","32.1","21.4","32.1","7.1","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 10 of 410"
