"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Intro:Prob&Markov Chain Mod","331","001","","15","2.633","33.3","13.3","13.3","6.7","6.7","13.3","13.3",".",".",".",".",".",".",".",".","."
"","340","001","","71","2.479","23.9","7.0","19.7","4.2","19.7","18.3","7.0",".",".",".",".",".",".",".",".","."
"","340","002","","83","2.916","41.0","6.0","19.3","8.4","12.0","3.6","9.6",".",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","","Course Total","","154","2.714","33.1","6.5","19.5","6.5","15.6","10.4","8.4",".",".",".",".",".",".",".",".","."
"Linear Algebra","341","001","","40","3.238","25.0","27.5","20.0","25.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","375","001","","37","3.203","43.2","16.2","10.8","2.7","24.3","2.7",".",".",".",".",".",".",".",".",".","."
"Appl Dyn Sys, Chaos&Modelng","415","001","","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","421","001","","26","3.442","38.5","23.1","30.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","431","001","","36","2.639","16.7","16.7","22.2","16.7","8.3","13.9","5.6",".",".",".",".",".",".",".",".","."
"","431","002","","39","2.974","25.6","17.9","23.1","7.7","17.9","7.7",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","","Course Total","","75","2.813","21.3","17.3","22.7","12.0","13.3","10.7","2.7",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","","24","2.938","25.0","8.3","33.3","12.5","16.7",".","4.2",".",".",".",".",".",".",".",".","."
"Intro to Modern Algebra","441","001","","20","3.400","35.0","25.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443","001","","23","2.795","17.4","13.0","26.1","26.1",".","8.7","4.3",".",".",".",".",".",".","4.3",".","."
"College Geometry I","461","001","","22","3.068","45.5","9.1","9.1","13.6","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","","28","3.481","53.6","17.9","10.7","3.6","7.1","3.6",".",".",".",".",".",".",".",".","3.6","."
"Numerical Analysis","514","001","","24","3.438","50.0","12.5","20.8","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","521","001","","21","3.262","23.8","23.8","38.1","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","521","003","","23","2.891","39.1",".","30.4","4.3","13.0","4.3","8.7",".",".",".",".",".",".",".",".","."
"","521","004","","27","2.889","14.8","18.5","25.9","18.5","18.5","3.7",".",".",".",".",".",".",".",".",".","."
"Advanced Calculus","","Course Total","","71","3.000","25.4","14.1","31.0","11.3","12.7","2.8","2.8",".",".",".",".",".",".",".",".","."
"Advanced Calculus","522","001","","10","2.900","10.0","10.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","11","2.682","9.1","9.1","45.5",".","27.3","9.1",".",".",".",".",".",".",".",".",".","."
"","541","001","","18","3.222","33.3","27.8","11.1","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","541","002","","28","2.679","10.7","17.9","28.6","17.9","10.7","10.7","3.6",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","46","2.891","19.6","21.7","21.7","17.4","8.7","8.7","2.2",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","27","2.426","14.8","22.2","7.4","11.1","22.2","11.1","11.1",".",".",".",".",".",".",".",".","."
"Elementary Number Theory","567","001","","33","3.212","45.5","18.2","9.1","6.1","12.1","9.1",".",".",".",".",".",".",".",".",".","."
"Mathematical Logic","571","001","","15","3.233","33.3","26.7","26.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Complex Analysis","623","001","","12","3.136","41.7","8.3","16.7","16.7",".",".","8.3","8.3",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","24","2.708","20.8","20.8","16.7","4.2","20.8","12.5","4.2",".",".",".",".",".",".",".",".","."
"Intro to Error-Correctng Codes","641","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math 1","703","001","","20","3.789","75.0","5.0","10.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Theory of Elasticity","707","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mathematical Statistics","709","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","16","3.656","68.8","6.3","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"First Crse in Real Analysis","721","001","","28","3.589","53.6","25.0","10.7","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 256 of 410",""
