"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Taxatn:Bus & Persnl Planng","329
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to American Law","601
001","44","1.674","20.5",".","27.3",".",".",".",".",".",".",".",".",".",".",".","2.3","."
"","602
001","17","1.529","11.8",".","23.5",".","17.6",".",".",".",".",".",".",".",".",".",".","."
"","602
002","16","1.125","12.5",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Legal Sources","Course Total","33","1.333","12.1",".","18.2",".","15.2",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
001","102","0.980","2.0",".","26.5",".","4.9",".",".",".",".",".",".",".",".",".",".","1.0"
"","711
002","102","0.951","9.8",".","14.7",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","711
003","23","1.391","13.0",".","17.4",".","17.4",".",".",".",".",".",".",".",".",".",".","."
"","711
004","25","1.400","12.0",".","20.0",".","16.0",".",".",".",".",".",".",".",".",".",".","."
"","711
005","21","1.476","19.0",".","19.0",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","711
006","22","1.136","9.1",".","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Contracts I","Course Total","295","1.085","8.1",".","20.3",".","7.1","0.3",".",".",".",".",".",".",".",".",".","0.3"
"Legal Process","713
001","15","1.800","26.7",".","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","714
001","84","0.821",".",".","27.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","714
002","86","1.035","8.1",".","22.1",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","714
003","82","1.378","4.9",".","35.4",".","6.1",".",".",".",".",".",".",".",".",".",".","."
"","004
714","23","1.227","8.7",".","26.1",".",".","4.3",".",".",".",".",".",".",".",".",".","4.3"
"Civil Procedure I","Course Total","275","1.088","4.7",".","28.0",".","2.5","0.4",".",".",".",".",".",".",".",".",".","0.4"
"","715
001","106","1.190","4.7",".","25.5",".","11.3",".",".",".",".",".",".",".",".",".",".","0.9"
"","715
002","83","1.229","13.3",".","16.9",".","9.6",".",".",".",".",".",".",".",".",".",".","."
"","715
003","23","0.522",".",".","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
004","16","1.625","18.8",".","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","715
005","20","0.800","10.0",".","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","715
006","22","0.864","9.1",".","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Torts I","Course Total","270","1.115","8.5",".","20.0",".","8.5",".",".",".",".",".",".",".",".",".",".","0.4"
"","001
723","12","1.455","8.3",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"","723
002","13","2.231","15.4",".","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","12","1.250",".",".","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
004","13","1.000","7.7",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","14","1.714",".",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","12","0.667",".",".","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","723
007","13","0.462",".",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","12","1.917",".",".","58.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","723
009","14","1.286",".",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
010","13","1.923","7.7",".","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
011","12","1.583","8.3",".","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
012","11","1.818","18.2",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
013","12","1.500",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
014","12","1.000",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
015","11","1.727","9.1",".","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
016","11","1.182","9.1",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
017","13","1.385",".",".","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
018","12","0.750",".",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
019","13","0.923",".",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 328 of 410",""
