"EGR","","","","","","","","","","","","","","","","","","","",""
"ENGINEERING PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","",""
"468
Intro to Engineering Research","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Research Proposal-Engr Physics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"568","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"568","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Pract-Engr Physics I","Course Total","","5","***","","","","","","","","","","","","","","","",""
"569","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"569","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Pract-Engr Physics II","Course Total","","3","***","","","","","","","","","","","","","","","",""
