"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","244
001","","9","3.543","66.7","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","002
244","","7","2.938",".","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","16","3.297","37.5","25.0","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Color","302
001","","17","3.563","23.5","64.7",".","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"Relief Printmaking","306
001","","11","3.560","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","8","3.548","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","18","3.549","38.9","33.3","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lithography","316
001","","8","3.313","25.0","12.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonstatic Forms","318
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting I","322
001","","11","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"Ceramics II","324
001","","7","3.500","28.6","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","6","3.083","16.7","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","328
001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
002","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","Course Total","","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","10","3.649","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","14","3.745","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal II","344
001","","8","2.688","12.5","12.5","37.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".","."
"","346
001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","","20","3.575","40.0","35.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
001","","10","3.450","10.0","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
354","","12","3.455","16.7","58.3","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Glassworking","Course Total","","22","3.452","13.6","63.6","13.6","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Print Prod Techniques(Digital)","356
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Set Design I","372
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Photography","376
001","","11","3.643","63.6","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","412
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","412
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","Course Total","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Installations & Environmnts","418
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting II","422
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
