"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","467
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","Course Total","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","8","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Middle School","498
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Literacy & Language Developmnt","500
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","68","3.860","76.5","20.6","1.5","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","30","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","28","3.929","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
506","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
005","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","123","3.919","85.4","13.0","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teach Soc Studies","559
001","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Human Sexuality","561
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Iss, Mtls & Mthds-Hlth Educ","567
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","13","3.423","53.8","23.1","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Adv Prac-Tch Engl Secn Schl","596
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Instructn w/Technol","600
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Literature and Literacy","632
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","660
001","19","3.778","57.9","31.6","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Issues in ESL Education","672
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Methods in Teaching ESL","674
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
001","27","3.926","92.6",".","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","41","3.951","95.1",".","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","23","3.932","82.6","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","4.3"
"","675
004","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
005","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","86","3.927","89.5","5.8","3.5",".",".",".",".",".",".",".",".",".",".",".",".","1.2"
"Bilingualism&Biliteracy-Schls","676
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Education, Health & Sexuality","677
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 85 of 410"
