"LANG & CULTURES OF ASIA - LA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"First Semester Filipino","305","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Hmong","307","001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Indonesian","309","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Thai","317","001","","15","3.267","60.0","13.3","6.7",".","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"First Semester Vietnamese","319","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","","19","3.038","15.8","26.3","15.8","31.6","10.5",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","323","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Kazak","331","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Pashto","333","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Turkish","339","001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","353","001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","353","002","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hindi","","Course Total","","23","3.761","60.9","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Persian","363","001","","20","3.475","55.0","5.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"First Semester Modern Tibetan","369","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Urdu","371","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Sanskrit","375","001","","14","3.571","64.3","7.1","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Filipino","405","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hmong","407","001","","18","3.500","44.4","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Indonesian","409","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Thai","417","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Vietnamese","419","001","","6","3.417","50.0",".","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Kazak","431","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Pashto","433","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Turkish","439","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hindi","453","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Persian","463","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Urdu","471","001","","8","3.500","37.5","37.5",".",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Third Semester Sanskrit","475","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Hmong","507","001","","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Indonesian","509","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Thai","517","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Vietnamese","519","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Kazak","531","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
