"EDU","","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL POLICY STUDIES Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"ED POL
Dept. Total
310","356","3.672","46.3","32.0","7.3","1.1","0.6","",".","0.6","4.8","0.3","2.2","",".","3.7","0.8",".","0.3","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"Freshmen","16","3.813","68.8","25.0","6.3",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","8","3.625","25.0","75.0",".",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"Junior","69","3.645","46.4","39.1","11.6","2.9",".","",".",".",".",".",".","",".",".",".",".",".","."
"Senior","137","3.574","40.9","46.0","8.8","1.5","1.5","",".","1.5",".",".",".","",".",".",".",".",".","."
"Undergraduates","230","3.614","43.9","43.5","9.1","1.7","0.9","",".","0.9",".",".",".","",".",".",".",".",".","."
"Special","11","3.813","72.7","18.2",".",".",".","",".",".",".",".",".","",".",".",".",".","9.1","."
"Graduate","115","3.848","48.7","10.4","4.3",".",".","",".",".","14.8","0.9","7.0","",".","11.3","2.6",".",".","."
"Dept. Total","356","3.672","46.3","32.0","7.3","1.1","0.6","",".","0.6","4.8","0.3","2.2","",".","3.7","0.8",".","0.3","."
