"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"1st-Yr Seminar: Biological Sci","101
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Humanities","102
001","16","3.625","81.3","6.3",".","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","106
002","18","3.694","66.7","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","106
004","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","37","3.851","83.8","8.1","2.7","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Soc Sci, Ethnic St","118
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ways of Knowing:Med&Society","152
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Interdis Smr: Diversity","180
001","41","3.890","80.5","17.1","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","18","3.824","66.7","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"","250
002","17","3.912","76.5","17.6",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","250
003","19","3.989","89.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"","250
004","17","3.829","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","14","3.970","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","17","3.943","82.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"","250
008","17","3.895","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","17","3.947","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
010","17","3.975","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","153","3.921","82.4","13.1","2.0",".",".",".",".","0.7",".",".",".",".",".",".","2.0","."
"Paradigms&Process-Acad Inquiry","315
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"L&S Junior/Senior Seminar","400
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Grad Stdts in Teaching","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTER-LS
502","Dept. Total","332","3.910","86.7","9.3","1.5","0.9",".",".","0.3","0.3",".",".",".",".",".",".","0.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","200","3.877","83.5","11.5","2.0","1.5",".",".","0.5",".",".",".",".",".",".",".","1.0","."
"Sophomore","","83","3.962","89.2","8.4",".",".",".",".",".","1.2",".",".",".",".",".",".","1.2","."
"Junior","","33","3.959","93.9","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","324","3.909","86.4","9.6","1.5","0.9",".",".","0.3","0.3",".",".",".",".",".",".","0.9","."
"Special","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","332","3.910","86.7","9.3","1.5","0.9",".",".","0.3","0.3",".",".",".",".",".",".","0.9","."
