"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","47","3.337","29.8","34.0","21.3","6.4","2.1","4.3",".","2.1",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","65","3.469","55.4","24.6","6.2","4.6","3.1","3.1","3.1",".",".",".",".",".",".",".",".","."
"The Writings of Vaclav Havel","208","001","12","3.417","41.7","33.3",".","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Mod Indian Lits in Translation","211","001","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lits of Cent Asia in Translatn","214","001","20","3.525","35.0","50.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","16","3.375","31.3","37.5","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224","001","38","2.819","7.9","18.4","28.9","21.1","13.2","5.3",".","2.6","2.6",".",".",".",".",".",".","."
"","226","001","16","3.125","25.0","25.0","37.5",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","226","002","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","","Course Total","31","3.484","51.6","19.4","22.6",".","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","25","3.540","48.0","36.0","8.0",".","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","27","3.302","51.9","14.8","7.4","14.8","3.7","3.7","3.7",".",".",".",".",".",".",".",".","."
"The World of Sagas","235","001","20","3.450","35.0","50.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Soviet Lit in Translation","240","001","35","3.671","51.4","31.4","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","001","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Tran: Modern Italy","254","001","90","3.579","28.9","57.8","11.1","1.1",".",".",".",".",".",".",".",".",".","1.1",".","."
"Chinese Lit in Translation","261","001","32","3.203","31.3","28.1","25.0","6.3",".","6.3","3.1",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","41","2.902","19.5","22.0","29.3","12.2","7.3","2.4","7.3",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","271","001","119","3.346","14.3","43.7","34.5","5.0","0.8",".",".","0.8",".",".",".",".","0.8",".",".","."
"In Transl:Hans C. Andersen","275","001","215","3.641","53.5","32.1","12.1",".","0.9",".","1.4",".",".",".",".",".",".",".",".","."
"","277","001","9","2.389","11.1","22.2","11.1","33.3",".",".","22.2",".",".",".",".",".",".",".",".","."
"","277","002","20","3.350","25.0","35.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-20c German Lit(in Tran)","","Course Total","29","3.052","20.7","31.0","20.7","20.7",".",".","6.9",".",".",".",".",".",".",".",".","."
"Mod Indonesian Lit in Tran","301","001","15","3.433","33.3","26.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Drama-A Strindberg","336","001","8","3.500","50.0",".","12.5","25.0",".",".",".","12.5",".",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","28","3.148","32.1","21.4","21.4",".","14.3","7.1",".",".",".",".",".",".","3.6",".",".","."
"Topics in Korean Literature","374","001","39","3.000","7.7","10.3","59.0","20.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410","001","22","3.797","72.7","22.7",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","473","001","8","3.500","62.5",".",".","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".","."
