"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"V Nabokov: Russ&Amer Writng","223
001","","39","3.162","33.3","25.6","10.3","10.3","10.3",".","5.1",".",".",".",".",".",".","5.1",".","."
"Bascom Course","236
002","","18","3.444","27.8","44.4","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","","20","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indigenous Lit of Great Lakes","274
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","","15","3.267","60.0","20.0",".","6.7",".",".","13.3",".",".",".",".",".",".",".",".","."
"","300
002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","","46","3.761","87.0","6.5",".","2.2",".",".","4.3",".",".",".",".",".",".",".",".","."
"","301
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","14","3.536","35.7","50.0","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","301
003","","12","3.750","66.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","301
004","","16","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
005","","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","Course Total","","72","3.757","65.3","26.4","4.2","2.8","1.4",".",".",".",".",".",".",".",".",".",".","."
"","302
001","","11","3.850","72.7","9.1","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".","."
"","002
302","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Poetry Workshp","Course Total","","23","3.773","60.9","26.1","8.7",".",".",".",".",".","4.3",".",".",".",".",".",".","."
"Advanced Poetry Workshop","305
001","","15","3.633","60.0","26.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","307
001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","Course Total","","25","3.720","56.0","32.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composition-English Tchrs","309
001","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
003","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","Course Total","","28","3.839","71.4","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for the Marketplace","317
001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Old English","320
001","","21","2.925","28.6","4.8","23.8","19.0","14.3",".","4.8","4.8",".",".",".",".",".",".",".","."
"Structure of English","324
001","","28","3.411","35.7","32.1","14.3","14.3","3.6",".",".",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
002","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
005","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
007","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","Course Total","","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"English Phonology","330
001","","39","3.423","23.1","41.0","33.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"English Lang Variation in U.S.","331
001","","35","3.171","17.1","42.9","25.7","8.6",".",".","5.7",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","333
001","","39","3.513","23.1","66.7","7.7",".",".","2.6",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334
001","","20","3.800","80.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335
001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender and Language","341
001","","27","3.389","59.3","25.9","3.7",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Figures of Medieval Eng Lit","361
001","","27","3.370","33.3","37.0","11.1","7.4","11.1",".",".",".",".",".",".",".",".",".",".","."
