"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"722
Compositn&Critical Theories","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"723
Crit Meth-Brit & Amer Lit","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"753
Medieval Literature","001","","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"763
Topics-Renaissance Lit","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"781
Graduate Fiction Workshop","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"782
Graduate Poetry Workshop","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"783
Creative Writing Pedagogy Smr","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785","034","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"785","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MFA Thesis","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"790","002","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Proseminar-Teaching of Writing","Course Total","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"795
One-credit Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","10","3.946","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"823
20th Century Literature","001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"873
Topics-20c Eng & Amer Lit","001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Topics in Composition Study","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"905
Smr-Appld English Linguistc","001","","13","3.909","76.9",".","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"940
Scholarship Probs-Amer Lit","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Seminar-American Literature","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"990","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
