"REAL ESTATE & URBAN LAND E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306","001","137","3.290","26.3","31.4","25.5","7.3","8.0","0.7",".","0.7",".",".",".",".",".",".",".","."
"Real Estate Law","312","001","53","3.198","13.2","34.0","34.0","17.0","1.9",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","11","3.727","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","410","001","40","3.188","17.5","30.0","32.5","12.5","7.5",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415","001","43","3.384","37.2","25.6","25.6","4.7","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420","001","43","3.244","32.6","18.6","27.9","7.0","14.0",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","430","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611","001","35","3.786","65.7","28.6","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710","001","17","3.235","17.6","35.3","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712","001","23","3.630","43.5","39.1","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720","001","17","3.529","41.2","29.4","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","730","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","142","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","151","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","","Course Total","3","***","","","","","","","","","","","","","","","",""
