"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","306","2.897","17.3","19.3","19.9","19.0","21.6","2.6","0.3",".",".",".",".",".",".",".",".","."
"","002
103","297","2.883","20.2","18.5","15.5","17.5","24.6","2.4","1.0",".",".",".",".",".",".",".",".","0.3"
"General Physics","Course Total","603","2.890","18.7","18.9","17.7","18.2","23.1","2.5","0.7",".",".",".",".",".",".",".",".","0.2"
"","104
001","155","2.867","12.9","15.5","31.6","17.4","19.4","1.9","0.6",".",".",".",".",".",".",".",".","0.6"
"","104
002","133","2.940","19.5","16.5","27.8","15.0","18.0","0.8","2.3",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","288","2.901","16.0","16.0","29.9","16.3","18.8","1.4","1.4",".",".",".",".",".",".",".",".","0.3"
"Ideas of Modern Physics","107
001","66","3.174","22.7","18.2","39.4","10.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","109
001","126","3.211","23.8","23.8","31.0","11.1","7.1",".","0.8","0.8",".",".",".",".",".",".",".","1.6"
"","109
002","111","3.295","31.5","25.2","23.4","11.7","5.4","1.8",".","0.9",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","237","3.251","27.4","24.5","27.4","11.4","6.3","0.8","0.4","0.8",".",".",".",".",".",".",".","0.8"
"Energy","115
001","87","3.201","17.2","17.2","59.8","4.6",".",".","1.1",".",".",".",".",".",".",".",".","."
"General Physics","201
001","201","2.834","16.9","19.4","14.9","21.4","22.9","1.0","2.5","0.5",".",".",".",".",".",".",".","0.5"
"","202
001","185","2.853","16.8","16.8","22.7","20.0","17.8","4.3","1.1","0.5",".",".",".",".",".",".",".","."
"","002
202","216","3.074","25.5","14.8","26.4","17.6","13.9","1.4",".",".",".",".",".",".",".",".","0.5","."
"General Physics","Course Total","401","2.972","21.4","15.7","24.7","18.7","15.7","2.7","0.5","0.2",".",".",".",".",".",".","0.2","."
"Mod Physics for Engineers","205
001","21","3.500","38.1","33.3","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"General Physics","207
001","283","3.355","28.6","37.1","20.1","10.6","1.8","0.7","1.1",".",".",".",".",".",".",".",".","."
"General Physics","208
001","142","3.162","24.6","19.0","29.6","17.6","9.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","37","2.865","32.4","13.5","16.2","8.1","16.2","8.1","5.4",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","247
001","44","3.302","43.2","13.6","22.7","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".","2.3"
"A Modern Intro to Physics","249
001","30","3.050","16.7","30.0","26.7","13.3","10.0",".","3.3",".",".",".",".",".",".",".",".","."
"Directed Study","298
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
044","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
001","15","3.667","80.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","307
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","50","3.840","82.0","16.0",".",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","42","3.381","35.7","35.7","21.4","2.4",".",".","4.8",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","22","2.909","27.3","18.2","13.6","18.2","9.1","13.6",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","34","3.172","26.5","14.7","32.4","11.8","5.9","2.9",".","2.9",".",".",".",".",".",".",".","2.9"
"Special Topics in Physics","406
001","17","3.536","58.8","17.6","11.8",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","20","3.250","30.0","30.0","25.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448
001","28","3.370","39.3","25.0","17.9","3.6","7.1","3.6",".",".",".",".",".",".",".",".","3.6","."
"Radioisotopes-Med & Biology","463
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","498
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","498
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","499
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","14","3.500","28.6","50.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Atomic Structure","545
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 277 of 410",""
