"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Golf I","Course Total","","78","3.491","29.5","15.4","17.9","2.6","2.6",".",".","29.5",".",".",".",".",".","1.3",".","1.3"
"","140
001","","17","3.667","47.1","35.3",".",".","5.9",".",".","11.8",".",".",".",".",".",".",".","."
"","140
002","","20","3.500","50.0","10.0","5.0","5.0",".",".","5.0","25.0",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","37","3.583","48.6","21.6","2.7","2.7","2.7",".","2.7","18.9",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","","17","3.864","52.9","5.9","5.9",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","11","3.333","18.2","18.2","9.1",".","9.1",".",".","45.5",".",".",".",".",".",".",".","."
"","155
001","","19","3.286","15.8","21.1","31.6",".","5.3",".",".","21.1",".",".",".",".",".","5.3",".","."
"","155
002","","25","3.211","8.0","32.0","28.0",".","8.0",".",".","24.0",".",".",".",".",".",".",".","."
"Badminton I","Course Total","","44","3.242","11.4","27.3","29.5",".","6.8",".",".","22.7",".",".",".",".",".","2.3",".","."
"","157
001","","20","3.526","35.0","35.0","20.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","157
002","","27","3.521","25.9","40.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","157
003","","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","","64","3.592","35.9","40.6","15.6","1.6",".",".",".","6.3",".",".",".",".",".",".",".","."
"","162
001","","19","3.607","36.8","15.8","21.1",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"","162
002","","15","3.667","26.7","26.7","6.7",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","003
162","","16","3.500","6.3","43.8","6.3",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","50","3.594","24.0","28.0","12.0",".",".",".",".","36.0",".",".",".",".",".",".",".","."
"","163
001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","163
002","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basketball I","170
001","","27","3.720","55.6","22.2","14.8",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"Soccer I","173
001","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","175
001","","29","3.841","51.7","24.1",".",".",".",".",".","24.1",".",".",".",".",".",".",".","."
"","175
002","","25","3.524","20.0","48.0","16.0",".",".",".",".","16.0",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","54","3.686","37.0","35.2","7.4",".",".",".",".","20.4",".",".",".",".",".",".",".","."
"Softball","179
001","","19","3.767","52.6","21.1",".","5.3",".",".",".","21.1",".",".",".",".",".",".",".","."
"","201
001","","16","3.600","68.8","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","6.3"
"","201
002","","16","3.700","68.8","18.8",".",".",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","32","3.650","68.8","15.6","3.1",".",".","3.1","3.1","3.1",".",".",".",".",".",".",".","3.1"
"","211
001","","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","211
002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","35","4.000","97.1",".",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Weight Training II","232
001","","14","3.625","50.0","7.1","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Golf II","238
001","","9","3.667","22.2","44.4",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Power Skating","244
001","","16","3.625","37.5","31.3",".",".","6.3",".",".","25.0",".",".",".",".",".",".",".","."
"","262
001","","20","3.808","45.0","15.0","5.0",".",".",".",".","35.0",".",".",".",".",".",".",".","."
"","262
002","","18","3.450","16.7","16.7","22.2",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","38","3.652","31.6","15.8","13.2",".",".",".",".","39.5",".",".",".",".",".",".",".","."
"","275
001","","26","3.979","88.5","3.8",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","275
002","","32","3.981","81.3","3.1",".",".",".",".",".","15.6",".",".",".",".",".",".",".","."
"Volleyball II","Course Total","","58","3.980","84.5","3.4",".",".",".",".",".","12.1",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","12","3.375","66.7","8.3","8.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Bicycling","295
001","","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 98 of 410"
