"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","","",""
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","4669","2.917","20.1","19.5","23.6","14.9","14.8","4.8","1.4","0.6","",".","0.1","",".","",".","0.1","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","721","2.906","14.3","22.5","23.2","20.4","15.7","2.9","1.1",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","1167","2.908","17.7","21.4","22.8","16.4","15.6","4.9","1.1","0.2","",".",".","",".","",".",".",".",".","."
"Junior","","1123","2.789","14.8","17.5","25.0","16.1","18.1","6.1","1.9","0.4","",".",".","",".","",".",".","0.1",".","."
"Senior","","1165","2.832","16.8","17.3","26.5","13.6","16.0","6.7","1.6","0.9","",".","0.3","",".","",".","0.2","0.1",".","."
"Undergraduates","","4176","2.855","16.1","19.4","24.5","16.2","16.4","5.4","1.5","0.4","",".","0.1","",".","",".","0.0","0.0",".","."
"Special","","62","3.407","38.7","27.4","12.9","6.5","6.5",".","1.6","1.6","",".",".","",".","",".",".","3.2","1.6","."
"Graduate","","431","3.633","56.4","19.5","16.9","2.8","0.5","0.2","0.5","2.1","",".",".","",".","",".","0.2","0.2","0.5","0.2"
"","Dept. Total","4669","2.917","20.1","19.5","23.6","14.9","14.8","4.8","1.4","0.6","",".","0.1","",".","",".","0.1","0.1","0.1","0.0"
