"Public Utilities","Course Total","","7","3.429","57.1","",".","28.6","",".","14.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","725
001","","4","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","725
002","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Public Utilities","Course Total","","6","4.000","83.3","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","16.7","."
"TRAN P U
243","Dept. Total","","13","3.667","69.2","",".","15.4","",".","7.7","",".","",".","",".","",".",".","",".","",".","",".",".","7.7","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","4.000","100.0","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","6","3.333","50.0","",".","33.3","",".","16.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","7","3.429","57.1","",".","28.6","",".","14.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","5","4.000","80.0","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","20.0","."
"","Dept. Total","","13","3.667","69.2","",".","15.4","",".","7.7","",".","",".","",".","",".",".","",".","",".","",".",".","7.7","."
