"","999
062","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","999
065","3","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","999
078","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","999
096","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Advanced Independent Study","Course Total","23","3.636","26.1",".",".",".","4.3",".",".","69.6","",".",".",".","",".",".",".",".","."
"NURSING
692","Dept. Total","1814","3.792","59.8","19.2","5.0","0.7","0.5","0.2","0.2","3.9","",".","10.5","0.1","",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","41","3.695","73.2","17.1","2.4",".","2.4","4.9",".",".","",".",".",".","",".",".",".",".","."
"Sophomore","","38","3.974","94.7","5.3",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Junior","","259","3.896","58.3","11.2","1.2",".",".",".",".","0.4","",".","29.0",".","",".",".",".",".","."
"Senior","","1041","3.774","58.2","22.8","6.4","1.2","0.4","0.1",".",".","",".","10.9","0.1","",".",".",".",".","."
"Undergraduates","","1379","3.796","59.7","19.9","5.1","0.9","0.4","0.2",".","0.1","",".","13.6","0.1","",".",".",".",".","."
"Special","","8","3.500","25.0","37.5","25.0",".",".",".",".",".","",".",".",".","",".","12.5",".",".","."
"Graduate","","413","3.781","60.3","16.5","4.1","0.2","1.0",".","0.7","16.7","",".","0.5",".","",".",".",".",".","."
"Prof Yr 4","","14","3.838","71.4","14.3","7.1",".",".",".",".","7.1","",".",".",".","",".",".",".",".","."
"Professionals","","14","3.838","71.4","14.3","7.1",".",".",".",".","7.1","",".",".",".","",".",".",".",".","."
"","Dept. Total","1814","3.792","59.8","19.2","5.0","0.7","0.5","0.2","0.2","3.9","",".","10.5","0.1","",".","0.1",".",".","."
