"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","4037","1.210","8.3","0.1","18.6","0.1","2.8","0.4","0.1","20.6","0.0",".",".","",".","0.1",".","0.1","1.2"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Junior","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Senior","","1","2.500",".",".",".","100.0",".",".",".",".",".",".",".","",".",".",".",".","."
"Undergraduates","","2","2.667",".",".","50.0","50.0",".",".",".",".",".",".",".","",".",".",".",".","."
"Special","","68","1.705","11.8","2.9","14.7",".","2.9",".","1.5","29.4",".",".",".","",".",".",".","5.9","1.5"
"Graduate","","28","3.614","57.1","14.3","17.9","3.6","3.6",".",".","3.6",".",".",".","",".",".",".",".","."
"Prof Yr 1","","1423","1.103","6.5",".","26.2",".","4.3","0.1",".","0.8",".",".",".","",".",".",".",".","0.4"
"Prof Yr 2","","1123","1.294","8.0",".","15.0",".","1.9","0.5","0.2","33.6",".",".",".","",".","0.2",".","0.1","3.0"
"Prof Yr 3","","1218","1.214","8.9",".","14.0","0.1","1.7","0.6",".","31.6",".",".",".","",".","0.2",".",".","0.8"
"Prof Yr 4","","175","1.277","11.4",".","14.3",".","5.1",".",".","21.7","1.1",".",".","",".","1.1",".",".","."
"Professionals","","3939","1.183","7.9",".","18.7","0.0","2.8","0.4","0.1","20.6","0.1",".",".","",".","0.2",".","0.0","1.2"
"","College Total","4037","1.210","8.3","0.1","18.6","0.1","2.8","0.4","0.1","20.6","0.0",".",".","",".","0.1",".","0.1","1.2"
