"","370
017","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Interdivisional Topics","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"Interdivisional Topics","376
009","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Topics in Social Science","536
002","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"STDYABRD
SAB","Dept. Total","","26","3.750","46.2","46.2","",".","",".","",".","",".","",".","7.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAB STDYABRD","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","3.500",".","100.0","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","9","3.692","44.4","55.6","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","15","3.822","53.3","33.3","",".","",".","",".","",".","",".","13.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","26","3.750","46.2","46.2","",".","",".","",".","",".","",".","7.7","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","26","3.750","46.2","46.2","",".","",".","",".","",".","",".","7.7","",".",".","",".","",".","",".",".",".","."
