"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","214","3.966","98.6","0.9",".",".",".",".","0.5",".",".",".",".",".",".",".",".","."
"699","026","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","9","3.717","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","249","3.956","96.0","2.4","0.4","0.4",".",".","0.4",".",".",".",".",".","0.4",".",".","."
"700
Intro Prosmr-Grad Students","001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"724
Intermed Political Sociol","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"730
Intmed Soc Psych-Indiv&Scty","001","","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"750
Research Methods-Sociology","001","","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"751
Survey Methods-Social Rsch","001","","19","3.861","73.7","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","5.3"
"754
Qual Research Methods-Sociol","001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"908
Smr-Sociology of Education","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Teaching Sociology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","001","","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"915","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Sociological Theory","Course Total","","29","3.964","93.1",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","3.4"
"923
Smr-Social Stratification","001","","11","3.750","54.5","27.3","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"924
Seminar-Political Sociology","001","","14","3.955","71.4","7.1",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"952
Math&Stat Applications-Soc","002","","16","3.962","75.0","6.3",".",".",".",".",".","12.5",".",".",".",".",".","6.3",".","."
"982","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"982","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","Course Total","","2","***","","","","","","","","","","","","","","","",""
"983
Rsch:Economic Sociology Wrkshp","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"985
Rsch:Soc-Envir, Tech, Agrofood","001","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
