"HEBREW (HEBREW AND SEMITI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","",""
"","101
001","","23","3.739","73.9","13.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","002
101","","16","3.700","62.5","18.8","6.3",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","101
003","","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","14","3.393","57.1","14.3","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"First Semester Hebrew","Course Total","","75","3.696","68.0","17.3","6.7","2.7","2.7",".","1.3","1.3",".",".",".",".",".",".",".","."
"Elementary Biblical Hebrew, I","103
001","","6","3.083","50.0","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","201
001","","13","3.769","76.9","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","23","3.667","52.2","26.1","4.3","8.7",".",".",".","8.7",".",".",".",".",".",".",".","."
"Third Semester Hebrew","Course Total","","36","3.706","61.1","19.4","5.6","8.3",".",".",".","5.6",".",".",".",".",".",".",".","."
"Introduction to Judaism","211
001","","28","3.768","60.7","32.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","217
001","","14","3.357","21.4","42.9","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Biblical Archaeology","241
001","","11","3.182","36.4","27.3","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301
001","","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Biblical Hebrew, I","303
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Biblical Hebrew I","323
001","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Israeli Fiction-Translation","343
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bible in the Middle Ages","368
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
001","","13","3.583","30.8","46.2","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","371
002","","13","3.577","53.8","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Jewish Civilization","Course Total","","37","3.708","59.5","24.3","10.8",".","2.7",".",".","2.7",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401
001","","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Archaeology","451
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts, Poetry","513
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syriac I","605
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Wisdom Lit:Proverbs&Qohelet","653
001","","6","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","799
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Linguis Appr to Biblicl Hebrew","957
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
011","","8","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
"","990
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","9","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
