"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"328
Human Anatomy","001","","526","3.004","28.9","18.1","22.4","8.6","12.4","5.9","3.0","0.8",".",".",".",".",".",".",".","."
"329","001","","59","3.593","54.2","20.3","18.6","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"329","002","","60","3.783","68.3","21.7","8.3","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"329","003","","60","3.650","58.3","21.7","15.0","1.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","","179","3.676","60.3","21.2","14.0","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"637
Functional Neuroanatomy","001","","66","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Anatomy","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Med Cell Biology & Immunology","001","","168","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"722","004","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinicl Anatomy & Radiology","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
