"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"ENTOM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","6","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","41","3.527","56.1","26.8","12.2",".","2.4","",".","2.4",".","",".",".","",".",".","",".",".",".","."
"Senior","","68","3.621","54.4","26.5","8.8","5.9","2.9","",".","1.5",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","116","3.604","56.9","25.9","9.5","3.4","2.6","",".","1.7",".","",".",".","",".",".","",".",".",".","."
"Special","","10","3.917","60.0","10.0",".",".",".","",".",".","20.0","",".",".","",".",".","",".",".","10.0","."
"Graduate","","56","3.822","37.5","8.9","3.6","1.8",".","",".",".","37.5","",".",".","",".","8.9","",".",".","1.8","."
"","Dept. Total","182","3.654","51.1","19.8","7.1","2.7","1.6","",".","1.1","12.6","",".",".","",".","2.7","",".",".","1.1","."
