"PHYSIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"335
Physiology","001","","445","2.916","29.0","5.4","34.8","2.7","19.6","5.2","2.9","0.4",".",".",".",".",".",".",".","."
"610
Cellular&Molecular Neurosci","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675","001","","25","3.620","48.0","28.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","25","3.560","36.0","40.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","25","3.500","36.0","28.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Physiology","Course Total","","75","3.560","40.0","32.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Prof Devlpmt-Biomed Grad Stdts","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"814
Molecular Technologies I","001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"830
Tech Apps-Early Drug Discovery","001","","25","3.620","36.0","52.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"834
Molecular Technologies III","001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Bus of Biotech:Challenges&Apps","001","","25","3.640","44.0","40.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","38","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
