"MANAGEMENT AND HUMAN RES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"977
Emerging Entrepreneurship","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999
Read&Rsch-Mgmt&H Resrcs PhD","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"M H R
236","Dept. Total","","1159","3.390","46.5","15.9","22.9","5.7","5.4","1.7","1.3","0.5",".",".",".",".","0.1",".",".","."
