"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"History of Russia","417
001","63","3.227","14.3","28.6","28.6","4.8","3.2",".","1.6","19.0",".",".",".",".",".",".",".","."
"The History of Punishment","426
001","47","3.435","21.3","46.8","25.5","4.3",".",".",".","2.1",".",".",".",".",".",".",".","."
"Amer Foreign Rel-1901 on","434
001","214","3.343","22.9","33.6","27.6","8.4","2.8",".",".","4.2",".",".",".",".","0.5",".",".","."
"Amer Environmental History","460
001","80","3.369","32.5","31.3","23.8","7.5","2.5","2.5",".",".",".",".",".",".",".",".",".","."
"The American West to 1850","461
001","119","3.431","25.2","39.5","23.5","2.5","3.4",".",".","5.9",".",".",".",".",".",".",".","."
"Topics in S Asian History","463
001","15","3.462","46.7","13.3","20.0",".",".","6.7",".","13.3",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pop Culture in Multi-racial US","468
001","33","3.447","21.2","39.4","33.3",".",".",".",".","6.1",".",".",".",".",".",".",".","."
"Relig Thought in Modern Europe","470
001","29","3.052","24.1","24.1","17.2","20.7","10.3",".","3.4",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Health, Disease & Healing I","507
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Religion-Ancient Mediterranean","517
001","15","3.615","46.7","20.0","13.3","6.7",".",".",".","13.3",".",".",".",".",".",".",".","."
"Multi-Racial Soc:Latin Amer","533
001","20","3.016","35.0","25.0","15.0",".","15.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","36","2.843","11.1","22.2","27.8","19.4","5.6","11.1",".","2.8",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","15","3.179","46.7","6.7","26.7",".",".","6.7","6.7","6.7",".",".",".",".",".",".",".","."
"History of Books&Print Culture","570
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600
002","12","3.250","41.7","8.3","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"","600
005","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
006","16","3.281","25.0","25.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","600
007","13","3.333","15.4","30.8","46.2",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","600
008","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
009","17","3.353","17.6","47.1","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","600
010","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
011","10","2.950","30.0","20.0",".","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","600
012","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
013","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
014","15","3.536","73.3",".",".","6.7","6.7","6.7",".",".",".",".",".",".","6.7",".",".","."
"","600
015","16","3.406","31.3","37.5","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","600
016","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","Course Total","191","3.532","48.7","23.0","19.4","3.7","2.6","1.6",".",".",".",".",".",".","0.5","0.5",".","."
"Amer Abroad-Hist Dimension","607
001","27","3.200",".","37.0","55.6",".",".",".",".","3.7",".",".",".",".",".",".","3.7","."
"Hist-Civ Rghts Movmnt in US","628
001","26","3.120","15.4","34.6","15.4","19.2","11.5",".",".",".","3.8",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 225 of 410",""
