"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"ITALIAN
508","Dept. Total","670","3.510","46.1","23.3","17.3","4.6","1.9","0.7","0.9","4.5",".",".",".","0.1","0.3",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","154","3.494","39.6","32.5","18.2","7.8","1.3","0.6",".",".",".",".",".",".",".",".",".","."
"Sophomore","","149","3.502","47.7","20.1","23.5","4.0","2.7","0.7","0.7","0.7",".",".",".",".",".",".",".","."
"Junior","","152","3.519","45.4","29.6","17.1","3.9","2.0","1.3","0.7",".",".",".",".",".",".",".",".","."
"Senior","","130","3.414","46.2","19.2","17.7","5.4","3.1","0.8","2.3","4.6",".",".",".","0.8",".",".",".","."
"Undergraduates","","585","3.486","44.6","25.6","19.1","5.3","2.2","0.9","0.9","1.2",".",".",".","0.2",".",".",".","."
"Special","","12","3.438","58.3","8.3",".",".",".",".","8.3","16.7",".",".",".",".",".",".","8.3","."
"Graduate","","73","3.868","56.2","6.8","5.5",".",".",".",".","28.8",".",".",".",".","2.7",".",".","."
"","Dept. Total","670","3.510","46.1","23.3","17.3","4.6","1.9","0.7","0.9","4.5",".",".",".","0.1","0.3",".","0.1","."
