"MEDICAL MICROBIOL & IMMUNO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"301
Pathogenic Bacteriology","001","","76","3.289","36.8","14.5","36.8","1.3","6.6","3.9",".",".",".",".",".",".",".",".",".","."
"302","001","","31","3.403","38.7","16.1","35.5","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"302","002","","22","3.568","45.5","27.3","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Microbiology Lab","Course Total","","53","3.472","41.5","20.8","30.2","5.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"341
Immunology","001","","147","3.680","67.3","14.3","9.5","4.8","4.1",".",".",".",".",".",".",".",".",".",".","."
"504
Infect Disease-Human Beings","001","","36","3.306","33.3","13.9","38.9","8.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","72","3.884","86.1","2.8","5.6",".",".","1.4",".","2.8",".",".",".",".","1.4",".",".","."
"554
Infect Diseases & Bioterrorism","001","","34","3.662","61.8","23.5","2.9","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"677
Adv Topics-Medicl Microbiol","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"696
Critical Thinking in M M & I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","41","3.976","97.6",".","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Adv Immunology: Crit Thinking","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Current Issues in Microbiology","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Seminar","001","","21","3.810","90.5",".",".",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 345 of 410",""
