"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"","101
001","","17","3.471","58.8","11.8","11.8",".","17.6",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","13","2.538","23.1",".","7.7","30.8","23.1","15.4",".",".",".",".",".",".",".",".",".","."
"","101
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
004","","17","3.294","58.8","5.9","5.9","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","101
005","","13","2.346","23.1","7.7","7.7","15.4","15.4","23.1","7.7",".",".",".",".",".",".",".",".","."
"","101
006","","17","3.382","52.9","5.9","11.8","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Portuguese","Course Total","","82","3.110","47.6","6.1","9.8","13.4","14.6","7.3","1.2",".",".",".",".",".",".",".",".","."
"","201
001","","6","2.750",".","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"","201
002","","19","3.056","31.6","5.3","21.1","15.8","21.1",".",".",".",".",".",".",".",".","5.3",".","."
"3rd Semester Portuguese","Course Total","","25","2.979","24.0","12.0","24.0","16.0","16.0","4.0",".",".",".",".",".",".",".","4.0",".","."
"Intro-Luso-Brazilian Lits","221
001","","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","225
001","","14","3.429","42.9","28.6","21.4",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311
001","","7","3.500","42.9",".","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Portuguese Civilization","361
001","","16","3.637","43.8","25.0","18.8",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Survey-Portug Lit pre 1825","411
001","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Luso-Braziln Lit","640
001","","11","3.471","54.5","27.3",".",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"Portuguese M.A. Proseminar","707
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Brazilian Literature","751
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","990
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
