"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshman Composition","Course Total","850","3.588","48.1","32.1","14.5","2.7","1.5","0.2","0.7",".",".",".",".",".",".",".",".","0.1"
"","110
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
002","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","110
003","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","24","",".",".",".",".",".",".",".",".",".","95.8","4.2",".",".",".",".","."
"ESL:Intmed Engl Lang Skills","114
001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
004","15","",".",".",".",".",".",".",".",".",".","93.3",".",".",".",".",".","6.7"
"ESL: Grammar-Academic Use","Course Total","26","",".",".",".",".",".",".",".",".",".","96.2",".",".",".",".",".","3.8"
"","116
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","002
116","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","116
003","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","116
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
006","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
007","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","008
116","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","116
009","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","010
116","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"ESL:Academc Readng&Vocablry","Course Total","152","",".",".",".",".",".",".",".",".",".","96.7","3.3",".",".",".",".","."
"","117
001","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","117
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
005","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
006","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","008
117","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
009","15","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"","117
010","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
011","15","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"","117
012","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Academic Writing I","Course Total","187","",".",".",".",".",".",".",".",".",".","94.7","5.3",".",".",".",".","."
"","118
001","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
003","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
004","14","3.500","50.0","14.3","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","118
005","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","118
006","14","3.179","35.7","28.6","14.3","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","118
007","15","3.167","40.0","13.3","20.0","20.0",".",".","6.7",".",".",".",".",".",".",".",".","."
"","118
008","14","3.464","50.0",".","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","118
009","15","3.533","33.3","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
010","13","2.885",".","23.1","46.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"","118
011","16","3.438","56.3","25.0",".","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
"","118
012","15","3.000","13.3","53.3","20.0",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 204 of 410",""
