"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","92","3.261","38.0","16.3","19.6","14.1","10.9","1.1",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","24","3.696","45.8","41.7","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","26","3.346","34.6","19.2","30.8","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","17","3.412","41.2","17.6","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","9","3.222","22.2","22.2","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","26","3.346","34.6","19.2","30.8","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","71","3.113","29.6","16.9","23.9","11.3","16.9",".","1.4",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","52","3.221","26.9","17.3","38.5","11.5","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","42","3.561","42.9","31.0","16.7","7.1",".",".",".",".",".",".",".",".",".",".","2.4","."
"Health Systems Engineering","417","001","","42","3.798","83.3","11.9",".",".","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","","53","3.481","39.6","32.1","17.0","7.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","","54","3.954","92.6","5.6","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","26","2.981","23.1",".","46.2","11.5","19.2",".",".",".",".",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","555","001","","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupatnl Safty&Health Engr","556","001","","36","3.157","22.2","16.7","38.9","13.9","2.8","2.8",".","2.8",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","","42","3.667","66.7","26.2",".","2.4",".","2.4","2.4",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","","34","3.294","32.4","17.6","35.3","5.9","8.8",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","","27","3.420","25.9","33.3","29.6",".","3.7",".",".","7.4",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","10","3.300","40.0","10.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","","39","3.731","56.4","33.3","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Tech Chng-Mfg Syst","658","001","","15","3.821","60.0","33.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671","001","","36","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","001","","21","3.643","38.1","52.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","004","","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","005","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","67","3.788","64.2","29.9","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 129 of 410",""
