"","999
077","10","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","999
080","11","3.886","72.7","27.3",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","999
096","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
098","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","148","3.957","93.2","4.7","2.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"ART
168","Dept. Total","1513","3.619","58.8","22.5","11.9","3.2","1.4","0.3","0.9","0.7","",".",".","",".","",".","0.1",".",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","141","3.434","36.2","38.3","16.3","4.3","2.8",".","1.4",".","",".",".","",".","",".",".",".",".","0.7"
"Sophomore","","266","3.485","47.0","27.1","15.0","5.3","2.3","1.1","1.1","0.4","",".",".","",".","",".","0.4",".",".","0.4"
"Junior","","321","3.526","50.2","25.9","15.0","4.4","2.2","0.3","1.2","0.3","",".",".","",".","",".",".",".",".","0.6"
"Senior","","449","3.654","59.2","22.0","13.1","2.4","0.9",".","0.9","1.3","",".",".","",".","",".",".",".",".","."
"Undergraduates","","1177","3.559","51.2","26.2","14.4","3.8","1.8","0.3","1.1","0.7","",".",".","",".","",".","0.1",".",".","0.3"
"Special","","37","3.603","59.5","16.2","8.1","8.1",".",".",".","8.1","",".",".","",".","",".",".",".",".","."
"Graduate","","299","3.922","88.6","8.7","2.3",".",".",".",".",".","",".",".","",".","",".","0.3",".",".","."
"","Dept. Total","1513","3.619","58.8","22.5","11.9","3.2","1.4","0.3","0.9","0.7","",".",".","",".","",".","0.1",".",".","0.3"
