"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","41","2.720","7.3","9.8","46.3","7.3","24.4","2.4","2.4",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","238","3.481","36.6","39.9","14.7","5.0","2.5","0.4","0.8",".",".",".",".",".",".",".",".","."
"","120","001","46","2.859","19.6","17.4","17.4","19.6","21.7","2.2","2.2",".",".",".",".",".",".",".",".","."
"","120","002","39","3.077","23.1","20.5","23.1","15.4","17.9",".",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","85","2.959","21.2","18.8","20.0","17.6","20.0","1.2","1.2",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","39","3.295","33.3","23.1","17.9","20.5","5.1",".",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","41","3.866","87.8","7.3","2.4",".",".","2.4",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","29","2.759","17.2","13.8","13.8","20.7","31.0","3.4",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","110","3.679","50.9","36.4","9.1","1.8","0.9",".",".","0.9",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","35","2.886","31.4",".","37.1","5.7","14.3","8.6","2.9",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Global Warming Debate","332","001","24","2.896","8.3","25.0","29.2","20.8","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"","339","001","72","2.761","5.6","11.1","44.4","16.7","15.3","5.6",".","1.4",".",".",".",".",".",".",".","."
"","339","002","70","2.857","12.9","14.3","28.6","22.9","20.0","1.4",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","142","2.809","9.2","12.7","36.6","19.7","17.6","3.5",".","0.7",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","53","3.353","32.1","28.3","24.5","1.9","7.5","1.9",".",".",".",".",".",".",".","1.9","1.9","."
"Renewable Energy Systems","367","001","31","3.533","67.7","12.9","6.5",".","3.2",".","6.5","3.2",".",".",".",".",".",".",".","."
"Nuclear Energy & Envr","373","001","10","3.278","20.0","30.0","30.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Field Ecology Workshop","375","001","20","3.275","30.0","25.0","35.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","400","001","93","3.701","61.3","23.7","11.8","1.1",".",".","1.1","1.1",".",".",".",".",".",".",".","."
"","400","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","","Course Total","98","3.702","61.2","22.4","12.2","1.0",".",".","1.0","1.0",".",".",".",".",".","1.0",".","."
"Topics in Envir: Phys Sciences","401","001","27","3.167","29.6","7.4","40.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","402","002","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","003","17","3.618","47.1","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","402","005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","47","3.777","68.1","19.1","10.6","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Envir: Humanistic","404","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","91","3.522","41.8","31.9","17.6","2.2","3.3","1.1",".","2.2",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","33","3.697","54.5","30.3","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modlng&Analysis of Envr Sys","506","001","21","3.725","66.7","19.0",".","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Renewable Resources Policy","515","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","12","3.625","83.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","600","002","12","3.250","25.0","33.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","600","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","","Course Total","42","3.679","73.8","11.9","4.8","4.8","2.4",".","2.4",".",".",".",".",".",".",".",".","."
