"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"","990
040","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","15","",".",".",".",".",".",".",".","93.3","",".",".",".","6.7","",".",".",".","."
"COM DIS
252","Dept. Total","1306","3.607","60.3","19.0","11.7","3.5","2.5","0.8","0.5","1.5","",".",".",".","0.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","51","3.667","66.7","11.8","15.7",".","5.9",".",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","180","3.385","41.7","17.2","27.2","6.7","6.1","1.1",".",".","",".",".",".",".","",".",".",".","."
"Junior","","313","3.535","54.0","22.4","13.1","5.8","2.6","0.6","1.6",".","",".",".",".",".","",".",".",".","."
"Senior","","296","3.539","57.1","20.6","11.5","4.1","2.4","2.4","0.7","1.4","",".",".",".",".","",".",".",".","."
"Undergraduates","","840","3.511","53.2","20.0","15.7","5.0","3.5","1.3","0.8","0.5","",".",".",".",".","",".",".",".","."
"Special","","75","3.615","57.3","21.3","10.7","4.0","5.3",".",".","1.3","",".",".",".",".","",".",".",".","."
"Graduate","","236","3.855","72.5","17.8","3.0","0.4",".",".",".","5.9","",".",".",".","0.4","",".",".",".","."
"Prof Yr 1","","45","3.947","93.3","4.4","2.2",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","59","3.835","76.3","15.3","8.5",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","51","3.906","78.4","21.6",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Professionals","","155","3.893","81.9","14.2","3.9",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"","Dept. Total","1306","3.607","60.3","19.0","11.7","3.5","2.5","0.8","0.5","1.5","",".",".",".","0.1","",".",".",".","."
