"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Indigenous Lit of Great Lakes","274
001","20","3.300","30.0","30.0","20.0","10.0","10.0",".",".",".",".","",".",".","",".","",".","",".",".","."
"Indians of North America","314
001","106","2.624","11.3","12.3","17.0","16.0","33.0","4.7","0.9","4.7",".","",".",".","",".","",".","",".",".","."
"Archaeol of Eastern N Amer","355
001","32","2.871","12.5","18.8","34.4","12.5","12.5","3.1","3.1","3.1",".","",".",".","",".","",".","",".",".","."
"American Indian Women","437
001","12","3.318","58.3","8.3",".",".","16.7","8.3",".","8.3",".","",".",".","",".","",".","",".",".","."
"","450
006","21","3.810","81.0","9.5","4.8",".","4.8",".",".",".",".","",".",".","",".","",".","",".",".","."
"","450
012","24","3.826","75.0","8.3","12.5",".",".",".",".","4.2",".","",".",".","",".","",".","",".",".","."
"","450
013","10","3.700","80.0",".","10.0",".","10.0",".",".",".",".","",".",".","",".","",".","",".",".","."
"","450
015","34","3.197","23.5","20.6","32.4","11.8","8.8",".",".",".",".","",".",".","",".","",".","",".",".","2.9"
"Issues in Amer Ind Studies","Course Total","89","3.569","57.3","12.4","18.0","4.5","5.6",".",".","1.1","",".",".","",".","",".","",".",".",".","1.1"
"Directed Study","699
004","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"AMER IND
140","Dept. Total","260","3.070","31.2","14.2","18.8","10.4","18.5","2.7","0.8","3.1","",".",".","",".","",".","",".",".",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","2.917","16.7","33.3",".","16.7","33.3",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","52","3.324","42.3","19.2","13.5","5.8","17.3",".",".",".","",".",".","",".","",".","",".",".",".","1.9"
"Junior","","87","3.006","24.1","6.9","34.5","14.9","13.8","1.1","1.1","3.4","",".",".","",".","",".","",".",".",".","."
"Senior","","111","2.983","30.6","17.1","10.8","9.0","22.5","5.4","0.9","3.6","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","256","3.059","30.5","14.5","19.1","10.5","18.8","2.7","0.8","2.7","",".",".","",".","",".","",".",".",".","0.4"
"Special","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","260","3.070","31.2","14.2","18.8","10.4","18.5","2.7","0.8","3.1","",".",".","",".","",".","",".",".",".","0.4"
