"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","214","2.670","12.1","11.7","25.7","11.7","27.1","7.0","0.9","1.9","1.4",".",".",".",".","0.5",".","."
"Beginning Swimming","102
001","13","3.708","61.5","15.4","7.7","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","111
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
001","12","",".",".",".",".",".",".",".","91.7",".",".",".",".",".",".","8.3","."
"","125
002","26","",".",".",".",".",".",".",".","84.6",".",".",".",".",".","15.4",".","."
"","125
003","16","",".",".",".",".",".",".",".","81.3",".",".",".",".",".","18.8",".","."
"","125
004","12","",".",".",".",".",".",".",".","91.7",".",".",".",".",".","8.3",".","."
"Adapted Fitness&Pers Traing","Course Total","66","",".",".",".",".",".",".",".","86.4",".",".",".",".",".","12.1","1.5","."
"","127
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","127
002","15","3.321","13.3","46.7","20.0","13.3",".",".",".",".",".",".",".",".",".","6.7",".","."
"Bowling I","Course Total","20","3.474","30.0","40.0","15.0","10.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"","129
001","28","3.550","28.6","21.4","21.4",".",".",".",".","25.0",".",".",".",".",".","3.6",".","."
"","002
129","19","3.583","26.3","26.3","5.3","5.3",".",".",".","31.6",".",".",".",".",".","5.3",".","."
"","129
003","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","129
004","17","3.824","82.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","88","3.767","58.0","13.6","9.1","2.3",".",".",".","14.8",".",".",".",".",".","2.3",".","."
"","130
001","20","3.789","65.0","20.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","130
002","26","3.417","34.6","23.1","30.8",".",".","3.8",".","7.7",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","46","3.581","47.8","21.7","21.7",".",".","2.2",".","6.5",".",".",".",".",".",".",".","."
"","131
001","27","3.760","55.6","29.6","7.4",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"","002
131","19","3.688","36.8","42.1","5.3",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","131
003","25","3.618","24.0","36.0","8.0",".",".",".",".","32.0",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","71","3.698","39.4","35.2","7.0",".",".",".",".","18.3",".",".",".",".",".",".",".","."
"","132
001","20","3.611","55.0","25.0",".","5.0",".","5.0",".","10.0",".",".",".",".",".",".",".","."
"","132
002","22","3.763","59.1","18.2","4.5","4.5",".",".",".","13.6",".",".",".",".",".",".",".","."
"","132
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
004","20","4.000","85.0",".",".",".",".",".",".","10.0",".",".",".",".",".","5.0",".","."
"","132
006","22","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","007
132","23","3.850","65.2","17.4","4.3",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"Weight Training","Course Total","123","3.850","71.5","13.8","1.6","1.6",".","0.8",".","9.8",".",".",".",".",".","0.8",".","."
"","133
001","22","3.925","77.3","13.6",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","133
002","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","133
003","20","3.882","70.0","10.0","5.0",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","60","3.918","78.3","11.7","1.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","134
001","20","3.711","55.0","25.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","134
002","22","3.528","31.8","31.8","13.6",".","4.5",".",".","18.2",".",".",".",".",".",".",".","."
"","134
003","21","3.444","23.8","38.1","19.0",".","4.8",".",".","14.3",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","63","3.564","36.5","31.7","15.9",".","3.2",".",".","12.7",".",".",".",".",".",".",".","."
"","138
001","14","3.100","7.1","21.4","28.6","7.1","7.1",".",".","28.6",".",".",".",".",".",".",".","."
"","138
002","13","3.636","38.5","30.8","15.4",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","138
003","14","3.500","21.4","14.3","21.4",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","138
004","15","3.500","20.0","13.3","6.7","6.7",".",".",".","46.7",".",".",".",".",".","6.7",".","."
"","138
005","9","3.500","22.2","11.1","22.2",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"","138
006","13","3.667","69.2",".","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","7.7"
