"MED","","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","702","3.042","36.6","10.5","26.2","1.7","12.7","3.3","1.9","5.7","",".","1.4","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","66","2.379","13.6","3.0","30.3","3.0","34.8","4.5","10.6",".","",".",".","",".","",".","",".",".",".","."
"Junior","","143","2.915","30.8","5.6","32.2","3.5","19.6","6.3","2.1",".","",".",".","",".","",".","",".",".",".","."
"Senior","","139","3.038","48.2","3.6","23.0","1.4","15.1","6.5","2.2",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","348","2.854","34.5","4.3","28.2","2.6","20.7","6.0","3.7",".","",".",".","",".","",".","",".",".",".","."
"Special","","15","3.269","26.7",".","53.3","6.7",".",".",".","13.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","227","3.653","42.7","22.9","14.1",".","0.4",".",".","15.4","",".","4.4","",".","",".","",".",".",".","."
"Prof Yr 1","","105","3.138","30.5","6.7","43.8","1.9","15.2","1.9",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","5","4.000","60.0",".",".",".",".",".",".","40.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","112","3.149","32.1","6.3","41.1","1.8","14.3","1.8",".","2.7","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","702","3.042","36.6","10.5","26.2","1.7","12.7","3.3","1.9","5.7","",".","1.4","",".","",".","",".",".",".","."
