"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"911
Smr-Probs in Theatre&Drama","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Collaboratv Design&Tech Studio","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","22","",".",".",".",".",".",".",".","68.2","4.5",".",".","27.3",".",".",".","."
