"","990
065","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
066","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
067","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
069","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","54","",".",".",".",".",".",".",".","92.6",".",".",".","7.4","",".",".",".","."
"PSYCH
820","Dept. Total","4359","3.030","35.2","13.7","17.0","11.7","15.0","4.1","1.6","1.4","0.1",".",".","0.1","",".","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","948","2.645","14.8","15.7","15.1","18.5","25.0","7.8","3.1","0.1",".",".",".",".","",".",".",".","."
"Sophomore","","877","2.849","21.2","15.8","20.2","16.1","18.7","6.0","1.7","0.1","0.1",".",".",".","",".",".",".","."
"Junior","","1033","3.079","36.4","13.9","19.3","11.4","14.5","2.8","1.5",".",".",".",".",".","",".","0.1","0.1","."
"Senior","","1157","3.369","51.5","13.4","17.5","6.3","8.1","1.7","0.8","0.6","0.1",".",".",".","",".",".",".","."
"Undergraduates","","4015","3.002","32.3","14.6","18.0","12.6","16.1","4.4","1.7","0.2","0.0",".",".",".","",".","0.0","0.0","."
"Special","","49","3.084","36.7","4.1","20.4","8.2","12.2","2.0","2.0","6.1","2.0",".",".",".","",".","4.1","2.0","."
"Graduate","","288","3.883","74.0","3.1","3.8",".","0.3",".",".","17.4",".",".",".","1.4","",".",".",".","."
"Prof Yr 1","","5","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 2","","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","7","3.625","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","4359","3.030","35.2","13.7","17.0","11.7","15.0","4.1","1.6","1.4","0.1",".",".","0.1","",".","0.1","0.0","."
