"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","205","3.099","28.8","25.9","18.0","9.3","9.3","5.4","2.4",".",".",".",".",".",".","1.0",".","."
"Global Language Issues","211","001","15","3.577","53.3","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".","6.7","6.7",".","."
"Bascom Course","236","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","66","3.371","42.4","22.7","18.2","9.1","3.0","4.5",".",".",".",".",".",".",".",".",".","."
"General Phonetics","306","001","16","3.600","56.3","25.0",".",".","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"Phonology","310","001","20","3.395","40.0","15.0","25.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Syntax","330","001","20","3.075","50.0","5.0","15.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"","481","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","481","040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Tutorial","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Syntactic Theories","530","001","6","3.000","33.3","33.3","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Intro-Experimntl Phonetics","561","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Tutorial","583","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","681","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Research Methods&Materials","800","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","977","001","7","3.882","71.4",".","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Seminar","978","001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","999","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","2","***","","","","","","","","","","","","","","","",""
