"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","280","3.330","21.1","46.1","19.3","7.5","4.6","0.4","0.7","0.4",".","",".",".","",".","",".","",".",".","."
"Global Language Issues","211
001","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Comparative Study of Genocide","318
001","39","3.282","25.6","28.2","25.6","17.9","2.6",".",".",".",".","",".",".","",".","",".","",".",".","."
"","320
001","17","3.761","41.2","52.9","5.9",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","320
002","12","3.792","58.3","41.7",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Contemporary Issues-Intl St","Course Total","29","3.780","48.3","48.3","3.4",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Growth&Develpmt Global Econ","374
001","32","3.281","43.8","25.0","18.8",".","3.1","3.1","6.3",".",".","",".",".","",".","",".","",".",".","."
"Topics-International Studies","620
001","12","3.708","41.7","58.3",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"INTL ST
504","Dept. Total","397","3.354","25.9","43.3","17.9","7.3","3.8","0.5","1.0","0.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","54","3.426","22.2","51.9","18.5","3.7","3.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","111","3.259","17.1","46.8","21.6","6.3","6.3",".","1.8",".","",".",".","",".","",".","",".",".",".","."
"Junior","","102","3.376","24.5","46.1","13.7","10.8","2.9","1.0",".","1.0","",".",".","",".","",".","",".",".",".","."
"Senior","","128","3.392","35.9","35.2","18.0","6.3","2.3","0.8","1.6",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","395","3.355","25.8","43.5","18.0","7.1","3.8","0.5","1.0","0.3","",".",".","",".","",".","",".",".",".","."
"Special","","2","3.143","50.0",".",".","50.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","397","3.354","25.9","43.3","17.9","7.3","3.8","0.5","1.0","0.3","",".",".","",".","",".","",".",".",".","."
