"","990
083","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
087","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
091","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","58","",".",".",".",".",".",".",".","91.4","",".",".",".","8.6","",".",".",".","."
"MICROBIO
192","Dept. Total","1340","3.108","35.1","13.8","22.8","9.0","11.0","3.2","0.7","4.0","",".",".",".","0.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","1.000",".",".",".",".","33.3","33.3","33.3",".","",".",".",".",".","",".",".",".","."
"Sophomore","","89","2.968","19.1","24.7","28.1","10.1","13.5","2.2","2.2",".","",".",".",".",".","",".",".",".","."
"Junior","","367","2.847","26.4","12.0","25.6","13.1","15.8","5.7","1.4",".","",".",".",".",".","",".",".",".","."
"Senior","","590","3.144","35.1","15.6","25.3","9.3","11.2","3.2","0.3",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","1049","3.016","30.6","15.1","25.5","10.7","13.1","4.1","1.0",".","",".",".",".",".","",".",".",".","."
"Special","","36","3.489","58.3","11.1","11.1","8.3","8.3",".",".","2.8","",".",".",".",".","",".",".",".","."
"Graduate","","254","3.569","50.4","9.1","13.4","2.0","2.8",".",".","20.9","",".",".",".","1.6","",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".",".","",".",".",".","100.0","",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".",".","",".",".",".","100.0","",".",".",".","."
"","Dept. Total","1340","3.108","35.1","13.8","22.8","9.0","11.0","3.2","0.7","4.0","",".",".",".","0.4","",".",".",".","."
