"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","113","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"699","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","126","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","141","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","143","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","146","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".",".",".","3.8","."
"799","140","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","145","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading & Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"812","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","25","3.462","20.0","44.0","28.0",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"812","082","","23","3.522","30.4","43.5","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","27","3.481","25.9","44.4","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Surgery","Course Total","","77","3.485","24.7","42.9","28.6",".",".",".",".",".",".",".",".",".","2.6",".",".","1.3"
"910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","3","***","","","","","","","","","","","","","","","",""
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","8","3.750","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surgery Clerkship-CSC","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 383 of 410",""
