"","991
012","4","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","991
013","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","991
019","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","13","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"SLAVIC
888","Dept. Total","377","3.558","58.4","17.0","8.2","5.3","2.9","1.3","0.3","6.1","",".",".",".","",".","0.3",".",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","63","3.574","65.1","17.5","6.3","7.9","1.6","1.6",".",".","",".",".",".","",".",".",".",".","."
"Sophomore","","63","3.549","54.0","20.6","14.3","6.3","3.2",".",".",".","",".",".",".","",".",".",".",".","1.6"
"Junior","","76","3.500","56.6","23.7","6.6","6.6","3.9","2.6",".",".","",".",".",".","",".",".",".",".","."
"Senior","","84","3.448","51.2","20.2","15.5","6.0","3.6","1.2","1.2","1.2","",".",".",".","",".",".",".",".","."
"Undergraduates","","286","3.511","56.3","20.6","10.8","6.6","3.1","1.4","0.3","0.3","",".",".",".","",".",".",".",".","0.3"
"Special","","14","3.258","50.0",".",".","7.1","7.1","7.1",".","28.6","",".",".",".","",".",".",".",".","."
"Graduate","","77","3.897","67.5","6.5",".",".","1.3",".",".","23.4","",".",".",".","",".","1.3",".",".","."
"","Dept. Total","377","3.558","58.4","17.0","8.2","5.3","2.9","1.3","0.3","6.1","",".",".",".","",".","0.3",".",".","0.3"
